orientation,best_flux_scale,scaled_rel_residual,complex_corr,conj_best_flux_scale,conj_scaled_rel_residual,conj_complex_corr,conjugate_better_scaled,frame_index,obs_name
flip_ud,0.0025592599479626822,0.36346779310624844,0.9318187950690457,0.0023888363275827128,0.49380941395712447,0.8997006870302601,False,0,frame_00.npz
original,0.002513459063695905,0.39546655279133147,0.9205286275841942,0.0022992557536032792,0.5422686379548904,0.8743604404600693,False,0,frame_00.npz
rot90,0.002375789495851298,0.4783814232173821,0.8781571009247551,0.0023239663991826503,0.5119805758600285,0.8891818461063835,False,0,frame_00.npz
flip_lr,0.0023942959945267303,0.4902932054674846,0.9008391027825113,0.0025780352741218,0.34543888561157604,0.9386449274170576,True,0,frame_00.npz
rot180,0.002344883921024834,0.5155178602965387,0.8918421182385607,0.002584294295522041,0.3288983433166813,0.9463278418137494,True,0,frame_00.npz
rot270,0.0022734259225487387,0.542096902314196,0.868300944387714,0.002354549229148073,0.4925198397027444,0.8704145914259425,True,0,frame_00.npz
transpose,0.002174018121342478,0.5927755316145101,0.8552718273142734,0.0022829692629314884,0.5336129509651547,0.8495751026767323,True,0,frame_00.npz
flip_ud,0.0032763175843981236,0.3749974025892195,0.9295948327337012,0.0030617464146106364,0.4995006945447729,0.9001267830697877,False,1,frame_01.npz
original,0.0031404727685181363,0.4384062242211501,0.8997309874812918,0.0028232478220982784,0.5891964435842785,0.8302539271054475,False,1,frame_01.npz
flip_lr,0.0030565598295740244,0.5020373238115913,0.8986376522445126,0.0032805704078137845,0.3720088384142082,0.9308660217680882,True,1,frame_01.npz
rot90,0.003014571323533304,0.507691647016501,0.8622452688905463,0.0029792195494017736,0.5244591447309946,0.8868830908788141,False,1,frame_01.npz
rot270,0.002930773984520544,0.5462989257414943,0.8709564224077183,0.0030035702305055544,0.5129895830793938,0.8585550673193684,True,1,frame_01.npz
rot180,0.0029050991684475766,0.5556519738220402,0.852669461942331,0.003249009173831694,0.3679662548019954,0.9307512656314669,True,1,frame_01.npz
transpose,0.002795362884187382,0.5894913627761337,0.8474855575071049,0.0028614636810615395,0.5623845826956869,0.8280534839582168,True,1,frame_01.npz
flip_ud,0.003569597989917006,0.43854919228035605,0.905286204791332,0.0035171025412290293,0.46465736414762493,0.9154551838603252,False,2,frame_02.npz
flip_lr,0.003518670949097026,0.4639040813805479,0.9157526524206437,0.0035616464680700436,0.44262815809422545,0.9032824292562024,True,2,frame_02.npz
rot90,0.0034454614318321507,0.5015380895991614,0.8673285387530508,0.0034418990116243824,0.5030779147551272,0.8923828931160401,False,2,frame_02.npz
rot270,0.0034314548509646187,0.5075563035833344,0.888335027891503,0.0034445630262858883,0.5019270133846974,0.8662821220527107,True,2,frame_02.npz
original,0.0032838327476314853,0.5332018069083929,0.8462522942299068,0.0029883857788397,0.6381954369463754,0.7815112942913579,False,2,frame_02.npz
transpose,0.003276720806183954,0.5519701331078443,0.8547480807797536,0.003269897773037589,0.5545842992493101,0.8323427331841347,False,2,frame_02.npz
rot180,0.0031404558653933294,0.5877384184667497,0.8174441699630973,0.0034981053886249305,0.43342537413482946,0.9014091796311038,True,2,frame_02.npz
