orientation,rel_residual,conj_rel_residual,complex_corr,frame_index,obs_name
flip_ud,363.0826976703044,363.1448880928096,0.9318187950690457,0,frame_00.npz
flip_lr,363.1428959228781,363.07584557760146,0.9008391027825113,0,frame_00.npz
original,364.50657500367,364.5850389601668,0.9205286275841942,0,frame_00.npz
rot180,364.5683264839997,364.4806238967098,0.8918421182385607,0,frame_00.npz
rot90,368.7475648421536,368.76676507625245,0.8781571009247551,0,frame_00.npz
rot270,368.78548914179095,368.75543438984465,0.868300944387714,0,frame_00.npz
transpose,369.6463539891439,369.6059028047151,0.8552718273142734,0,frame_00.npz
flip_ud,282.0207209368344,282.0816262488102,0.9295948327337012,1,frame_01.npz
flip_lr,282.08309826963153,282.0195136428465,0.8986376522445126,1,frame_01.npz
rot90,284.9304102468901,284.94054383606465,0.8622452688905463,1,frame_01.npz
rot270,284.9544301779196,284.9335637515156,0.8709564224077183,1,frame_01.npz
original,285.2931632681392,285.384221757527,0.8997309874812918,1,frame_01.npz
rot180,285.3607293400216,285.2620015275926,0.852669461942331,1,frame_01.npz
transpose,288.1623514018525,288.1431961452943,0.8474855575071049,1,frame_01.npz
rot90,250.22961998254152,250.23051757500136,0.8673285387530508,2,frame_02.npz
rot270,250.23314907526796,250.22984633963992,0.888335027891503,2,frame_02.npz
flip_ud,250.8687345805939,250.88199818144412,0.905286204791332,2,frame_02.npz
flip_lr,250.88160191632346,250.87074367409474,0.9157526524206437,2,frame_02.npz
transpose,253.64794833260632,253.64969036442665,0.8547480807797536,2,frame_02.npz
original,256.77672409076047,256.8530770282293,0.8462522942299068,2,frame_02.npz
rot180,256.81378009537576,256.72133498824957,0.8174441699630973,2,frame_02.npz
