label,i,j,relative_distance,delta_weight,stage
prior_plus_delta,0,1,0.054741113057396935,0.0001,delta_weight_1em04
prior_plus_delta,0,2,0.10199539459109257,0.0001,delta_weight_1em04
prior_plus_delta,1,2,0.05314897318924479,0.0001,delta_weight_1em04
delta,0,1,0.04920209075388064,0.0001,delta_weight_1em04
delta,0,2,0.09569203533202272,0.0001,delta_weight_1em04
delta,1,2,0.049390946250889675,0.0001,delta_weight_1em04
prior_plus_delta,0,1,0.043289876637216625,0.001,delta_weight_1em03
prior_plus_delta,0,2,0.08034088206973648,0.001,delta_weight_1em03
prior_plus_delta,1,2,0.04102264810604239,0.001,delta_weight_1em03
delta,0,1,0.05052384774949171,0.001,delta_weight_1em03
delta,0,2,0.09718512235498888,0.001,delta_weight_1em03
delta,1,2,0.04921364746679999,0.001,delta_weight_1em03
prior_plus_delta,0,1,0.016882054301057138,0.01,delta_weight_1em02
prior_plus_delta,0,2,0.03292150887991625,0.01,delta_weight_1em02
prior_plus_delta,1,2,0.01712612478861059,0.01,delta_weight_1em02
delta,0,1,0.03543213248982453,0.01,delta_weight_1em02
delta,0,2,0.07131384178399049,0.01,delta_weight_1em02
delta,1,2,0.036686891692346284,0.01,delta_weight_1em02
prior_plus_delta,0,1,0.008292755356215356,0.05,delta_weight_5em02
prior_plus_delta,0,2,0.016219654468928712,0.05,delta_weight_5em02
prior_plus_delta,1,2,0.008454745301050372,0.05,delta_weight_5em02
delta,0,1,0.025482470406117213,0.05,delta_weight_5em02
delta,0,2,0.051523832125857594,0.05,delta_weight_5em02
delta,1,2,0.02654070450742277,0.05,delta_weight_5em02
