image_index,data_index,loss,stage,prior_weight
0,0,3.700035467601359,01_spatial_tv_prior_init,0.05
0,1,3.7040226148333604,01_spatial_tv_prior_init,0.05
0,2,3.7083463773564533,01_spatial_tv_prior_init,0.05
0,3,3.712553267025064,01_spatial_tv_prior_init,0.05
0,4,3.717128637116774,01_spatial_tv_prior_init,0.05
0,5,3.7219508975385254,01_spatial_tv_prior_init,0.05
0,6,3.726156845904132,01_spatial_tv_prior_init,0.05
0,7,3.7306541538488807,01_spatial_tv_prior_init,0.05
0,8,3.73512789025363,01_spatial_tv_prior_init,0.05
0,9,3.7396155293405418,01_spatial_tv_prior_init,0.05
0,10,3.744307927331411,01_spatial_tv_prior_init,0.05
0,11,3.749190103747666,01_spatial_tv_prior_init,0.05
0,12,3.753525355072248,01_spatial_tv_prior_init,0.05
0,13,3.7580249338951557,01_spatial_tv_prior_init,0.05
0,14,3.7626825592679918,01_spatial_tv_prior_init,0.05
1,0,3.6953568949320093,01_spatial_tv_prior_init,0.05
1,1,3.6992763337521453,01_spatial_tv_prior_init,0.05
1,2,3.7035283394431318,01_spatial_tv_prior_init,0.05
1,3,3.7076672755282205,01_spatial_tv_prior_init,0.05
1,4,3.7121697440933596,01_spatial_tv_prior_init,0.05
1,5,3.716914644096368,01_spatial_tv_prior_init,0.05
1,6,3.7210487961311585,01_spatial_tv_prior_init,0.05
1,7,3.7254708905528586,01_spatial_tv_prior_init,0.05
1,8,3.729868838754225,01_spatial_tv_prior_init,0.05
1,9,3.7342798882497705,01_spatial_tv_prior_init,0.05
1,10,3.738895019034014,01_spatial_tv_prior_init,0.05
1,11,3.74369664990651,01_spatial_tv_prior_init,0.05
1,12,3.747957368378155,01_spatial_tv_prior_init,0.05
1,13,3.7523798167980855,01_spatial_tv_prior_init,0.05
1,14,3.75696040685896,01_spatial_tv_prior_init,0.05
2,0,3.690594804728694,01_spatial_tv_prior_init,0.05
2,1,3.6944450817793957,01_spatial_tv_prior_init,0.05
2,2,3.6986234702714587,01_spatial_tv_prior_init,0.05
2,3,3.7026926971147427,01_spatial_tv_prior_init,0.05
2,4,3.707120423016365,01_spatial_tv_prior_init,0.05
2,5,3.7117856253910206,01_spatial_tv_prior_init,0.05
2,6,3.7158458600917683,01_spatial_tv_prior_init,0.05
2,7,3.720190366277648,01_spatial_tv_prior_init,0.05
2,8,3.724509882340312,01_spatial_tv_prior_init,0.05
2,9,3.728841608126383,01_spatial_tv_prior_init,0.05
2,10,3.7333764515322327,01_spatial_tv_prior_init,0.05
2,11,3.738094207841355,01_spatial_tv_prior_init,0.05
2,12,3.742277219436553,01_spatial_tv_prior_init,0.05
2,13,3.7466189951452984,01_spatial_tv_prior_init,0.05
2,14,3.7511188082337754,01_spatial_tv_prior_init,0.05
3,0,3.686278581182944,01_spatial_tv_prior_init,0.05
3,1,3.690065022810308,01_spatial_tv_prior_init,0.05
3,2,3.6941754085006746,01_spatial_tv_prior_init,0.05
3,3,3.698180047208913,01_spatial_tv_prior_init,0.05
3,4,3.7025382728598446,01_spatial_tv_prior_init,0.05
3,5,3.7071292711087858,01_spatial_tv_prior_init,0.05
3,6,3.711120569891169,01_spatial_tv_prior_init,0.05
3,7,3.715392611330028,01_spatial_tv_prior_init,0.05
3,8,3.719638716527781,01_spatial_tv_prior_init,0.05
3,9,3.723896008606389,01_spatial_tv_prior_init,0.05
3,10,3.728355346119315,01_spatial_tv_prior_init,0.05
3,11,3.732993996562181,01_spatial_tv_prior_init,0.05
3,12,3.7371035541110738,01_spatial_tv_prior_init,0.05
3,13,3.741368922213965,01_spatial_tv_prior_init,0.05
3,14,3.7457919908638746,01_spatial_tv_prior_init,0.05
4,0,3.6818809232177303,01_spatial_tv_prior_init,0.05
4,1,3.6856011205729833,01_spatial_tv_prior_init,0.05
4,2,3.6896409560432573,01_spatial_tv_prior_init,0.05
4,3,3.693578346651062,01_spatial_tv_prior_init,0.05
4,4,3.697863863860097,01_spatial_tv_prior_init,0.05
4,5,3.702377235978328,01_spatial_tv_prior_init,0.05
4,6,3.706296312805494,01_spatial_tv_prior_init,0.05
4,7,3.7104923850401805,01_spatial_tv_prior_init,0.05
4,8,3.714661397342282,01_spatial_tv_prior_init,0.05
4,9,3.7188403177424307,01_spatial_tv_prior_init,0.05
4,10,3.7232200277722503,01_spatial_tv_prior_init,0.05
4,11,3.7277750306319786,01_spatial_tv_prior_init,0.05
4,12,3.7318067773632175,01_spatial_tv_prior_init,0.05
4,13,3.735991121470649,01_spatial_tv_prior_init,0.05
4,14,3.7403325770102778,01_spatial_tv_prior_init,0.05
5,0,3.677500286281615,01_spatial_tv_prior_init,0.05
5,1,3.681152520093087,01_spatial_tv_prior_init,0.05
5,2,3.685119672917195,01_spatial_tv_prior_init,0.05
5,3,3.6889878132793132,01_spatial_tv_prior_init,0.05
5,4,3.6931985497627853,01_spatial_tv_prior_init,0.05
5,5,3.697631680422308,01_spatial_tv_prior_init,0.05
5,6,3.701476187347305,01_spatial_tv_prior_init,0.05
5,7,3.705593713648934,01_spatial_tv_prior_init,0.05
5,8,3.7096827752586226,01_spatial_tv_prior_init,0.05
5,9,3.7137803924608237,01_spatial_tv_prior_init,0.05
5,10,3.7180772458762683,01_spatial_tv_prior_init,0.05
5,11,3.7225450470182277,01_spatial_tv_prior_init,0.05
5,12,3.7264956159586555,01_spatial_tv_prior_init,0.05
5,13,3.7305951963649906,01_spatial_tv_prior_init,0.05
5,14,3.734851078277559,01_spatial_tv_prior_init,0.05
6,0,3.6737503542125864,01_spatial_tv_prior_init,0.05
6,1,3.6773422779461575,01_spatial_tv_prior_init,0.05
6,2,3.681244922931553,01_spatial_tv_prior_init,0.05
6,3,3.6850514690318734,01_spatial_tv_prior_init,0.05
6,4,3.6891955434412527,01_spatial_tv_prior_init,0.05
6,5,3.6935571127459585,01_spatial_tv_prior_init,0.05
6,6,3.697334873586702,01_spatial_tv_prior_init,0.05
6,7,3.701381895798914,01_spatial_tv_prior_init,0.05
6,8,3.7053990864738733,01_spatial_tv_prior_init,0.05
6,9,3.709423427634735,01_spatial_tv_prior_init,0.05
6,10,3.713645483690555,01_spatial_tv_prior_init,0.05
6,11,3.7180343957765536,01_spatial_tv_prior_init,0.05
6,12,3.7219112889199986,01_spatial_tv_prior_init,0.05
6,13,3.7259337531757843,01_spatial_tv_prior_init,0.05
6,14,3.730111608243198,01_spatial_tv_prior_init,0.05
7,0,3.669949997290988,01_spatial_tv_prior_init,0.05
7,1,3.6734812814871276,01_spatial_tv_prior_init,0.05
7,2,3.6773189219489453,01_spatial_tv_prior_init,0.05
7,3,3.681063330669782,01_spatial_tv_prior_init,0.05
7,4,3.6851401060738755,01_spatial_tv_prior_init,0.05
7,5,3.689429259080011,01_spatial_tv_prior_init,0.05
7,6,3.6931393060545723,01_spatial_tv_prior_init,0.05
7,7,3.6971145650830746,01_spatial_tv_prior_init,0.05
7,8,3.701058439185898,01_spatial_tv_prior_init,0.05
7,9,3.7050078776604973,01_spatial_tv_prior_init,0.05
7,10,3.709153288832642,01_spatial_tv_prior_init,0.05
7,11,3.713461191799195,01_spatial_tv_prior_init,0.05
7,12,3.717262218300594,01_spatial_tv_prior_init,0.05
7,13,3.7212050264606598,01_spatial_tv_prior_init,0.05
7,14,3.725302101293292,01_spatial_tv_prior_init,0.05
8,0,3.666307483520999,01_spatial_tv_prior_init,0.05
8,1,3.6697802956983683,01_spatial_tv_prior_init,0.05
8,2,3.673555088776796,01_spatial_tv_prior_init,0.05
8,3,3.6772393583564256,01_spatial_tv_prior_init,0.05
8,4,3.681250936634587,01_spatial_tv_prior_init,0.05
8,5,3.6854696961722593,01_spatial_tv_prior_init,0.05
8,6,3.689113922588959,01_spatial_tv_prior_init,0.05
8,7,3.693019345757758,01_spatial_tv_prior_init,0.05
8,8,3.6968916529245632,01_spatial_tv_prior_init,0.05
8,9,3.700767878719036,01_spatial_tv_prior_init,0.05
8,10,3.7048381712295755,01_spatial_tv_prior_init,0.05
8,11,3.709066480763802,01_spatial_tv_prior_init,0.05
8,12,3.7127928793664866,01_spatial_tv_prior_init,0.05
8,13,3.71665715549382,01_spatial_tv_prior_init,0.05
8,14,3.7206743650121843,01_spatial_tv_prior_init,0.05
9,0,3.6628280245357674,01_spatial_tv_prior_init,0.05
9,1,3.666244127322982,01_spatial_tv_prior_init,0.05
9,2,3.6699579789278016,01_spatial_tv_prior_init,0.05
9,3,3.6735838426415475,01_spatial_tv_prior_init,0.05
9,4,3.6775319800233737,01_spatial_tv_prior_init,0.05
9,5,3.681682239958395,01_spatial_tv_prior_init,0.05
9,6,3.685262345172026,01_spatial_tv_prior_init,0.05
9,7,3.6890996749609304,01_spatial_tv_prior_init,0.05
9,8,3.6929021257071293,01_spatial_tv_prior_init,0.05
9,9,3.6967067665607445,01_spatial_tv_prior_init,0.05
9,10,3.700703521220544,01_spatial_tv_prior_init,0.05
9,11,3.704853774771693,01_spatial_tv_prior_init,0.05
9,12,3.708506878427092,01_spatial_tv_prior_init,0.05
9,13,3.712293933313265,01_spatial_tv_prior_init,0.05
9,14,3.716232449754314,01_spatial_tv_prior_init,0.05
10,0,3.659425478492774,01_spatial_tv_prior_init,0.05
10,1,3.662786248927535,01_spatial_tv_prior_init,0.05
10,2,3.6664404769232917,01_spatial_tv_prior_init,0.05
10,3,3.670009152667447,01_spatial_tv_prior_init,0.05
10,4,3.6738951391892836,01_spatial_tv_prior_init,0.05
10,5,3.677978072294997,01_spatial_tv_prior_init,0.05
10,6,3.681495163663164,01_spatial_tv_prior_init,0.05
10,7,3.6852654897128216,01_spatial_tv_prior_init,0.05
10,8,3.6889990210937467,01_spatial_tv_prior_init,0.05
10,9,3.692732960292945,01_spatial_tv_prior_init,0.05
10,10,3.696656900827475,01_spatial_tv_prior_init,0.05
10,11,3.7007297038031686,01_spatial_tv_prior_init,0.05
10,12,3.7043100065511076,01_spatial_tv_prior_init,0.05
10,13,3.7080201957464762,01_spatial_tv_prior_init,0.05
10,14,3.7118801953304317,01_spatial_tv_prior_init,0.05
11,0,3.6560196561905776,01_spatial_tv_prior_init,0.05
11,1,3.659325131322502,01_spatial_tv_prior_init,0.05
11,2,3.6629197131146913,01_spatial_tv_prior_init,0.05
11,3,3.666431081761873,01_spatial_tv_prior_init,0.05
11,4,3.6702546684505535,01_spatial_tv_prior_init,0.05
11,5,3.6742698990855915,01_spatial_tv_prior_init,0.05
11,6,3.6777235969179305,01_spatial_tv_prior_init,0.05
11,7,3.6814264654964193,01_spatial_tv_prior_init,0.05
11,8,3.6850904629617234,01_spatial_tv_prior_init,0.05
11,9,3.6887529490825774,01_spatial_tv_prior_init,0.05
11,10,3.6926031587695123,01_spatial_tv_prior_init,0.05
11,11,3.69659734143538,01_spatial_tv_prior_init,0.05
11,12,3.7001036579038225,01_spatial_tv_prior_init,0.05
11,13,3.7037356093814564,01_spatial_tv_prior_init,0.05
11,14,3.7075154782935424,01_spatial_tv_prior_init,0.05
