label,i,j,relative_distance,stage,prior_weight
reconstruction,0,1,0.001484918959949432,01_spatial_tv_prior_init,0.05
reconstruction,0,2,0.003029832323269537,01_spatial_tv_prior_init,0.05
reconstruction,0,3,0.004461174308595095,01_spatial_tv_prior_init,0.05
reconstruction,0,4,0.005956765154139487,01_spatial_tv_prior_init,0.05
reconstruction,0,5,0.007515060378051997,01_spatial_tv_prior_init,0.05
reconstruction,0,6,0.008933431596495914,01_spatial_tv_prior_init,0.05
reconstruction,0,7,0.010392382836485517,01_spatial_tv_prior_init,0.05
reconstruction,0,8,0.011840086841228992,01_spatial_tv_prior_init,0.05
reconstruction,0,9,0.013273217501869184,01_spatial_tv_prior_init,0.05
reconstruction,0,10,0.014705990683721176,01_spatial_tv_prior_init,0.05
reconstruction,0,11,0.016174606127508147,01_spatial_tv_prior_init,0.05
reconstruction,0,12,0.01751356864063115,01_spatial_tv_prior_init,0.05
reconstruction,0,13,0.018890949410678357,01_spatial_tv_prior_init,0.05
reconstruction,0,14,0.020259975237337677,01_spatial_tv_prior_init,0.05
reconstruction,1,2,0.0015596394831579594,01_spatial_tv_prior_init,0.05
reconstruction,1,3,0.003003422789528581,01_spatial_tv_prior_init,0.05
reconstruction,1,4,0.004513047352980835,01_spatial_tv_prior_init,0.05
reconstruction,1,5,0.00608783257438759,01_spatial_tv_prior_init,0.05
reconstruction,1,6,0.00752144175166313,01_spatial_tv_prior_init,0.05
reconstruction,1,7,0.008996745016007784,01_spatial_tv_prior_init,0.05
reconstruction,1,8,0.010461110167615605,01_spatial_tv_prior_init,0.05
reconstruction,1,9,0.011910563990112238,01_spatial_tv_prior_init,0.05
reconstruction,1,10,0.013360224701345999,01_spatial_tv_prior_init,0.05
reconstruction,1,11,0.014846517475666942,01_spatial_tv_prior_init,0.05
reconstruction,1,12,0.016201487740972638,01_spatial_tv_prior_init,0.05
reconstruction,1,13,0.017595725892614163,01_spatial_tv_prior_init,0.05
reconstruction,1,14,0.018981623688610155,01_spatial_tv_prior_init,0.05
reconstruction,2,3,0.0014566556716667054,01_spatial_tv_prior_init,0.05
reconstruction,2,4,0.0029815006064315233,01_spatial_tv_prior_init,0.05
reconstruction,2,5,0.004573327085017371,01_spatial_tv_prior_init,0.05
reconstruction,2,6,0.006022784308010267,01_spatial_tv_prior_init,0.05
reconstruction,2,7,0.007514806873083028,01_spatial_tv_prior_init,0.05
reconstruction,2,8,0.008996023461144509,01_spatial_tv_prior_init,0.05
reconstruction,2,9,0.01046216363330359,01_spatial_tv_prior_init,0.05
reconstruction,2,10,0.011929050393418985,01_spatial_tv_prior_init,0.05
reconstruction,2,11,0.013433485723502525,01_spatial_tv_prior_init,0.05
reconstruction,2,12,0.01480499110881092,01_spatial_tv_prior_init,0.05
reconstruction,2,13,0.01621663501131864,01_spatial_tv_prior_init,0.05
reconstruction,2,14,0.017620051076532663,01_spatial_tv_prior_init,0.05
reconstruction,3,4,0.0015375138346447033,01_spatial_tv_prior_init,0.05
reconstruction,3,5,0.0031451561245935157,01_spatial_tv_prior_init,0.05
reconstruction,3,6,0.004608781193840235,01_spatial_tv_prior_init,0.05
reconstruction,3,7,0.006115603831184417,01_spatial_tv_prior_init,0.05
reconstruction,3,8,0.007611744203972119,01_spatial_tv_prior_init,0.05
reconstruction,3,9,0.009092642615921137,01_spatial_tv_prior_init,0.05
reconstruction,3,10,0.01057487756021686,01_spatial_tv_prior_init,0.05
reconstruction,3,11,0.0120955171164711,01_spatial_tv_prior_init,0.05
reconstruction,3,12,0.01348187116627531,01_spatial_tv_prior_init,0.05
reconstruction,3,13,0.014909284627782503,01_spatial_tv_prior_init,0.05
reconstruction,3,14,0.01632861188299565,01_spatial_tv_prior_init,0.05
reconstruction,4,5,0.0016255906098273604,01_spatial_tv_prior_init,0.05
reconstruction,4,6,0.0031027146411277675,01_spatial_tv_prior_init,0.05
reconstruction,4,7,0.004624062434099777,01_spatial_tv_prior_init,0.05
reconstruction,4,8,0.006135107991502667,01_spatial_tv_prior_init,0.05
reconstruction,4,9,0.007630721833969573,01_spatial_tv_prior_init,0.05
reconstruction,4,10,0.009128512265958795,01_spatial_tv_prior_init,0.05
reconstruction,4,11,0.010665631648723709,01_spatial_tv_prior_init,0.05
reconstruction,4,12,0.012067236935386865,01_spatial_tv_prior_init,0.05
reconstruction,4,13,0.013511091347790143,01_spatial_tv_prior_init,0.05
reconstruction,4,14,0.014946984323950642,01_spatial_tv_prior_init,0.05
reconstruction,5,6,0.0014883576892437335,01_spatial_tv_prior_init,0.05
reconstruction,5,7,0.0030238628252063767,01_spatial_tv_prior_init,0.05
reconstruction,5,8,0.004549249637871757,01_spatial_tv_prior_init,0.05
reconstruction,5,9,0.006059696335824603,01_spatial_tv_prior_init,0.05
reconstruction,5,10,0.007573208053827244,01_spatial_tv_prior_init,0.05
reconstruction,5,11,0.009127173907107404,01_spatial_tv_prior_init,0.05
reconstruction,5,12,0.010544673009495114,01_spatial_tv_prior_init,0.05
reconstruction,5,13,0.012005702920629274,01_spatial_tv_prior_init,0.05
reconstruction,5,14,0.013459003037332426,01_spatial_tv_prior_init,0.05
reconstruction,6,7,0.0015494568564165209,01_spatial_tv_prior_init,0.05
reconstruction,6,8,0.003087518988066988,01_spatial_tv_prior_init,0.05
