image_index,data_index,loss,stage,prior_weight
0,0,3.69873240906138,02_residual_signed_ot_from_spatial_init,0.05
0,1,3.702693865354801,02_residual_signed_ot_from_spatial_init,0.05
0,2,3.706990320353984,02_residual_signed_ot_from_spatial_init,0.05
0,3,3.7111713780264566,02_residual_signed_ot_from_spatial_init,0.05
0,4,3.7157190776490148,02_residual_signed_ot_from_spatial_init,0.05
0,5,3.720511887137202,02_residual_signed_ot_from_spatial_init,0.05
0,6,3.7246904619974357,02_residual_signed_ot_from_spatial_init,0.05
0,7,3.7291590347403663,02_residual_signed_ot_from_spatial_init,0.05
0,8,3.7336037562492184,02_residual_signed_ot_from_spatial_init,0.05
0,9,3.738062053442362,02_residual_signed_ot_from_spatial_init,0.05
0,10,3.7427248083490543,02_residual_signed_ot_from_spatial_init,0.05
0,11,3.7475760509909763,02_residual_signed_ot_from_spatial_init,0.05
0,12,3.7518826291346947,02_residual_signed_ot_from_spatial_init,0.05
0,13,3.756352466605276,02_residual_signed_ot_from_spatial_init,0.05
0,14,3.7609803668483366,02_residual_signed_ot_from_spatial_init,0.05
1,0,3.6953175702064476,02_residual_signed_ot_from_spatial_init,0.05
1,1,3.6992363089319844,02_residual_signed_ot_from_spatial_init,0.05
1,2,3.7034874977267753,02_residual_signed_ot_from_spatial_init,0.05
1,3,3.707625655116952,02_residual_signed_ot_from_spatial_init,0.05
1,4,3.7121272899130524,02_residual_signed_ot_from_spatial_init,0.05
1,5,3.716871216873866,02_residual_signed_ot_from_spatial_init,0.05
1,6,3.721004466688792,02_residual_signed_ot_from_spatial_init,0.05
1,7,3.725425573312807,02_residual_signed_ot_from_spatial_init,0.05
1,8,3.7298224641442985,02_residual_signed_ot_from_spatial_init,0.05
1,9,3.734232423278425,02_residual_signed_ot_from_spatial_init,0.05
1,10,3.738846390604185,02_residual_signed_ot_from_spatial_init,0.05
1,11,3.7436467602257943,02_residual_signed_ot_from_spatial_init,0.05
1,12,3.7479062833887116,02_residual_signed_ot_from_spatial_init,0.05
1,13,3.752327430174711,02_residual_signed_ot_from_spatial_init,0.05
1,14,3.7569066684799584,02_residual_signed_ot_from_spatial_init,0.05
2,0,3.6906665775774425,02_residual_signed_ot_from_spatial_init,0.05
2,1,3.6945179335993203,02_residual_signed_ot_from_spatial_init,0.05
2,2,3.6986974492614078,02_residual_signed_ot_from_spatial_init,0.05
2,3,3.702767696092949,02_residual_signed_ot_from_spatial_init,0.05
2,4,3.7071964571891987,02_residual_signed_ot_from_spatial_init,0.05
2,5,3.7118627331341325,02_residual_signed_ot_from_spatial_init,0.05
2,6,3.7159239326983684,02_residual_signed_ot_from_spatial_init,0.05
