iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,transport_action,bb_continuity_residual_max,bb_iterations_max,u_mean,u_max,u_min
1,0.09005643352215724,inf,0.36592730005768515,0.06773573638492963,55.46228392667475,1.61057129367085e-07,0.00018097224539569324,50,0.022610906778334088,0.5655659455941736,0.0
2,0.08610427048530325,4.75110724497763e-05,0.3659271555174253,0.0677400386095196,55.462265509580824,1.414446293855144e-07,0.00012889768364002417,30,0.022610883503027143,0.5655492135980144,0.0
3,0.08550999240079149,1.5171374171825591e-05,0.3659271014629678,0.06774430949038021,55.46225108780448,1.2832120811901855e-07,0.00010330259688192413,30,0.02261087083626846,0.5655347017169979,0.0
4,0.08564635118153517,2.0904398437776325e-05,0.36592709876354723,0.06774858415274902,55.46224220672198,1.2151056343748101e-07,8.908787721115907e-05,10,0.02261086623891113,0.5655220835678133,0.0
5,0.09092435146340258,6.258907828520412e-05,0.3659270950462701,0.06775312312849766,55.462236879738796,1.4477193199012348e-07,0.00013215917007182754,10,0.022610863833807275,0.5655095335560225,0.0
6,0.08507199521899612,5.935097557099166e-05,0.3659270903403943,0.06775736624304954,55.462233883029604,1.3404318518265833e-07,7.529058296276734e-05,10,0.02261086772892163,0.5654999230977391,0.0
7,0.08633196642578311,1.8133554311552863e-05,0.3659270838642993,0.06776167145027838,55.462233368000426,1.401415402477148e-07,3.057190132644146e-05,10,0.02261087340600568,0.5654911969111075,0.0
8,0.08824275674124887,2.583981588800608e-05,0.3659270767346282,0.06776607205700687,55.462233993203576,1.5704404803369082e-07,6.325658493868856e-05,10,0.02261088077692562,0.5654828930657858,0.0
9,0.08509259794079048,3.2332782837475773e-05,0.36592706871605796,0.06777031332175087,55.46223678520512,1.5487103470008793e-07,4.803358172491934e-05,10,0.022610891448758882,0.5654763191372323,0.0
10,0.08620718291932031,1.4646927002785362e-05,0.3659270592199799,0.0677746105786887,55.46224218939007,1.678026297517659e-07,1.2256156088650903e-05,10,0.022610902893585753,0.5654701660646387,0.0
