label,i,j,relative_distance
spatial_delta,0,1,0.0009286341315794814
spatial_delta,0,2,0.0018939609594580578
spatial_delta,0,3,0.0027875517988949876
spatial_delta,0,4,0.003720440347422386
spatial_delta,0,5,0.004691568853186344
spatial_delta,0,6,0.005574789294346574
spatial_delta,0,7,0.006482477892579177
spatial_delta,0,8,0.007382428624357556
spatial_delta,0,9,0.008272570246505186
spatial_delta,0,10,0.009161685871276932
spatial_delta,0,11,0.010072261207047805
spatial_delta,0,12,0.01090184978481708
spatial_delta,0,13,0.011754580823536925
spatial_delta,0,14,0.012601416525327423
spatial_delta,1,2,0.0009745355420728499
spatial_delta,1,3,0.0018759067055344586
spatial_delta,1,4,0.0028175701795273957
spatial_delta,1,5,0.0037989998587851575
spatial_delta,1,6,0.0046917209106118705
spatial_delta,1,7,0.005609604275165894
spatial_delta,1,8,0.006519931374803552
spatial_delta,1,9,0.007420231123160597
spatial_delta,1,10,0.008319853880801623
spatial_delta,1,11,0.0092414189254218
spatial_delta,1,12,0.010080944261470002
spatial_delta,1,13,0.010944131302765035
spatial_delta,1,14,0.011801427278519336
spatial_delta,2,3,0.0009094150367504751
spatial_delta,2,4,0.0018605878842825148
spatial_delta,2,5,0.002852654962018188
spatial_delta,2,6,0.0037552491952390276
spatial_delta,2,7,0.004683548121474199
spatial_delta,2,8,0.0056043616067358755
spatial_delta,2,9,0.006515037302670409
spatial_delta,2,10,0.007425369543800547
spatial_delta,2,11,0.008358204911252831
spatial_delta,2,12,0.00920798646083481
spatial_delta,2,13,0.010081961261316373
spatial_delta,2,14,0.010950110064270288
spatial_delta,3,4,0.0009590815666693317
spatial_delta,3,5,0.0019610126131758446
spatial_delta,3,6,0.0028724250930087254
spatial_delta,3,7,0.0038099357306500678
spatial_delta,3,8,0.004740027598394169
spatial_delta,3,9,0.005659871973226646
spatial_delta,3,10,0.006579738077090513
spatial_delta,3,11,0.007522631114501475
spatial_delta,3,12,0.008381614773743848
spatial_delta,3,13,0.009265354976556273
spatial_delta,3,14,0.010143352879212628
spatial_delta,4,5,0.0010131163696777343
spatial_delta,4,6,0.001932922319855477
spatial_delta,4,7,0.002879465694873687
spatial_delta,4,8,0.0038188164160295295
spatial_delta,4,9,0.004747795037166675
spatial_delta,4,10,0.005677316216669351
spatial_delta,4,11,0.0066304300391078095
spatial_delta,4,12,0.007498857920906146
spatial_delta,4,13,0.008392771869879218
spatial_delta,4,14,0.009281016566305035
spatial_delta,5,6,0.0009267902425065395
spatial_delta,5,7,0.001882139653189578
spatial_delta,5,8,0.002830400194698199
spatial_delta,5,9,0.003768588131273104
spatial_delta,5,10,0.004707869442478717
spatial_delta,5,11,0.0056714335653615415
spatial_delta,5,12,0.006549705578110458
spatial_delta,5,13,0.007454249493193405
spatial_delta,5,14,0.00835326330448517
spatial_delta,6,7,0.0009640367187927695
spatial_delta,6,8,0.0019201803181002816
spatial_delta,6,9,0.0028666356556480204
spatial_delta,6,10,0.00381483161291252
spatial_delta,6,11,0.004787935462119506
spatial_delta,6,12,0.0056751460797250936
spatial_delta,6,13,0.006589381195744596
spatial_delta,6,14,0.00749824692340171
spatial_delta,7,8,0.0009635661693254619
spatial_delta,7,9,0.0019186629196526433
spatial_delta,7,10,0.002876120305001575
spatial_delta,7,11,0.003859090020490271
spatial_delta,7,12,0.004755494315853909
spatial_delta,7,13,0.005679681238697042
spatial_delta,7,14,0.0065987409529867135
spatial_delta,8,9,0.0009640121125071683
spatial_delta,8,10,0.0019303171460978848
spatial_delta,8,11,0.002922695949132427
spatial_delta,8,12,0.0038280777998372126
spatial_delta,8,13,0.004762012658601392
spatial_delta,8,14,0.005691088920658814
spatial_delta,9,10,0.0009738189448202178
spatial_delta,9,11,0.001974978634005176
spatial_delta,9,12,0.0028890593445306473
spatial_delta,9,13,0.003832524091495596
spatial_delta,9,14,0.004771408767721428
spatial_delta,10,11,0.0010107265792225649
spatial_delta,10,12,0.0019338736901997544
spatial_delta,10,13,0.002886863803953613
spatial_delta,10,14,0.0038354659463612634
spatial_delta,11,12,0.0009320246805823594
spatial_delta,11,13,0.0018942178048885186
spatial_delta,11,14,0.0028523384139685767
spatial_delta,12,13,0.0009702741908224215
spatial_delta,12,14,0.0019370307179209672
spatial_delta,13,14,0.000975791411268459
ot_delta,0,1,0.0005810748167494382
ot_delta,0,2,0.0015180726396259118
ot_delta,0,3,0.002438983960119443
ot_delta,0,4,0.0033747828117211263
ot_delta,0,5,0.004320161226615534
ot_delta,0,6,0.0052323034323756385
ot_delta,0,7,0.00613629885617499
ot_delta,0,8,0.0070395432906371685
ot_delta,0,9,0.007935478284197205
ot_delta,0,10,0.00883264026287089
ot_delta,0,11,0.009723747704965565
ot_delta,0,12,0.010582045574327119
ot_delta,0,13,0.011428823752592842
ot_delta,0,14,0.011953297338988686
ot_delta,1,2,0.0009396285074323341
ot_delta,1,3,0.0018646328246368356
ot_delta,1,4,0.0028055910876920993
ot_delta,1,5,0.0037569090699452598
ot_delta,1,6,0.004675126945262583
ot_delta,1,7,0.005585380733440517
ot_delta,1,8,0.00649503967444372
ot_delta,1,9,0.007397391385612401
ot_delta,1,10,0.00830112814499907
ot_delta,1,11,0.009198889491122358
ot_delta,1,12,0.010063655964164841
ot_delta,1,13,0.010916915748223498
ot_delta,1,14,0.011445328598521057
ot_delta,2,3,0.0009294038972906653
ot_delta,2,4,0.0018780577117059195
ot_delta,2,5,0.0028388202903148483
ot_delta,2,6,0.003766730343831489
ot_delta,2,7,0.004686846044173788
ot_delta,2,8,0.005606566467485823
ot_delta,2,9,0.006519010245875311
ot_delta,2,10,0.007433119729922161
ot_delta,2,11,0.008341408477793162
ot_delta,2,12,0.00921641110596124
ot_delta,2,13,0.010079941083940875
ot_delta,2,14,0.010614702135056211
ot_delta,3,4,0.0009536926404389258
ot_delta,3,5,0.0019227240462278388
ot_delta,3,6,0.002859669543602835
ot_delta,3,7,0.0037889537832904133
ot_delta,3,8,0.004718072341550845
ot_delta,3,9,0.005639991653173962
ot_delta,3,10,0.006563917288655155
ot_delta,3,11,0.007482221937006072
ot_delta,3,12,0.00836702731918292
ot_delta,3,13,0.009240465583439536
ot_delta,3,14,0.009781359230453432
ot_delta,4,5,0.000974052897887459
ot_delta,4,6,0.0019184971196729277
ot_delta,4,7,0.0028561356453600468
ot_delta,4,8,0.003794123748014416
ot_delta,4,9,0.004725109480465173
ot_delta,4,10,0.005658581976282219
ot_delta,4,11,0.006586716507006226
ot_delta,4,12,0.007481253373768485
ot_delta,4,13,0.008364634295290234
ot_delta,4,14,0.008911669799341049
ot_delta,5,6,0.0009493888024202085
ot_delta,5,7,0.0018944155089144989
ot_delta,5,8,0.0028409159388742117
ot_delta,5,9,0.003780819496620704
ot_delta,5,10,0.004723793779750581
ot_delta,5,11,0.005661773060360056
ot_delta,5,12,0.006566144913393104
ot_delta,5,13,0.007459632787214019
ot_delta,5,14,0.008012919114513465
ot_delta,6,7,0.0009495178511237975
ot_delta,6,8,0.0019030076978226631
ot_delta,6,9,0.0028510658285841347
ot_delta,6,10,0.003803036534296246
ot_delta,6,11,0.004750403494272671
ot_delta,6,12,0.005664204881748644
ot_delta,6,13,0.006567441707207696
ot_delta,6,14,0.007126799553599178
ot_delta,7,8,0.0009579161205310651
ot_delta,7,9,0.0019133542043647304
ot_delta,7,10,0.0028741359613287287
ot_delta,7,11,0.0038307220573064126
ot_delta,7,12,0.004753796339319621
ot_delta,7,13,0.005666663129573019
ot_delta,7,14,0.006232049089244544
ot_delta,8,9,0.000960464647269999
ot_delta,8,10,0.001928988811841706
ot_delta,8,11,0.002894268095955217
ot_delta,8,12,0.003826348855460183
ot_delta,8,13,0.004748681500330395
ot_delta,8,14,0.005320022053317349
ot_delta,9,10,0.0009733040992316645
ot_delta,9,11,0.0019460412447715675
ot_delta,9,12,0.0028867407054216365
ot_delta,9,13,0.0038183344515402653
ot_delta,9,14,0.0043955037321129825
ot_delta,10,11,0.0009774642467890963
ot_delta,10,12,0.001925785667312949
ot_delta,10,13,0.002866267533051187
ot_delta,10,14,0.003449089807702692
ot_delta,11,12,0.0009532763240121739
ot_delta,11,13,0.0019015731517315268
ot_delta,11,14,0.0024896993671423384
ot_delta,12,13,0.000953077268115245
ot_delta,12,14,0.0015454625615251875
ot_delta,13,14,0.0005947619783013273
ot_minus_spatial_delta,0,1,0.8732909209787639
ot_minus_spatial_delta,0,2,0.9442597422437319
ot_minus_spatial_delta,0,3,0.8920512398754059
ot_minus_spatial_delta,0,4,0.8745110088619185
ot_minus_spatial_delta,0,5,0.9556322021464686
ot_minus_spatial_delta,0,6,0.8976455517468033
ot_minus_spatial_delta,0,7,0.9226977586984607
ot_minus_spatial_delta,0,8,0.9165304477547163
ot_minus_spatial_delta,0,9,0.9208208196050977
ot_minus_spatial_delta,0,10,0.8942104952065281
ot_minus_spatial_delta,0,11,0.9388929379916048
ot_minus_spatial_delta,0,12,0.9071962591474582
ot_minus_spatial_delta,0,13,0.9184491115470971
ot_minus_spatial_delta,0,14,0.9007115030920386
ot_minus_spatial_delta,1,2,0.7177065033280381
ot_minus_spatial_delta,1,3,0.6553184187847969
ot_minus_spatial_delta,1,4,0.6540264621914492
ot_minus_spatial_delta,1,5,0.7830468182375923
ot_minus_spatial_delta,1,6,0.6778448175571107
ot_minus_spatial_delta,1,7,0.7111732293108726
ot_minus_spatial_delta,1,8,0.7272503109160572
ot_minus_spatial_delta,1,9,0.7097421559613791
