cg_iter,relative_residual,delta_weight,frame_index,obs_name
1,0.09645901958816488,0.0001,0,frame_00.npz
2,0.042633836880715634,0.0001,0,frame_00.npz
3,0.01659524139279484,0.0001,0,frame_00.npz
4,0.014104840229687828,0.0001,0,frame_00.npz
5,0.009598566831196515,0.0001,0,frame_00.npz
6,0.011502985073288235,0.0001,0,frame_00.npz
7,0.007219816482789747,0.0001,0,frame_00.npz
8,0.014473443627342618,0.0001,0,frame_00.npz
9,0.004816403126004418,0.0001,0,frame_00.npz
10,0.0041354069877660195,0.0001,0,frame_00.npz
11,0.0013203622326639164,0.0001,0,frame_00.npz
12,0.0012233155086999496,0.0001,0,frame_00.npz
13,0.0010426001630508932,0.0001,0,frame_00.npz
14,0.0007669667158223836,0.0001,0,frame_00.npz
15,0.00023182904774598159,0.0001,0,frame_00.npz
16,0.00043288355440274415,0.0001,0,frame_00.npz
17,0.0003968760742418294,0.0001,0,frame_00.npz
18,0.0005225420810689087,0.0001,0,frame_00.npz
19,0.0007375013203911135,0.0001,0,frame_00.npz
20,0.0007280712268014168,0.0001,0,frame_00.npz
21,0.000557458242592505,0.0001,0,frame_00.npz
22,0.00035592577306475516,0.0001,0,frame_00.npz
23,0.0005432411110601939,0.0001,0,frame_00.npz
24,0.00011071772978239318,0.0001,0,frame_00.npz
25,0.00028643277959628405,0.0001,0,frame_00.npz
26,0.00010582518352967519,0.0001,0,frame_00.npz
27,0.0002670856830676235,0.0001,0,frame_00.npz
28,3.6531908498393275e-05,0.0001,0,frame_00.npz
29,7.93105957428516e-05,0.0001,0,frame_00.npz
30,1.2623260654374306e-05,0.0001,0,frame_00.npz
31,3.5907351541594785e-05,0.0001,0,frame_00.npz
32,1.9565388611743225e-05,0.0001,0,frame_00.npz
33,0.00013161665753789548,0.0001,0,frame_00.npz
34,9.625749560667888e-06,0.0001,0,frame_00.npz
35,2.5711408082813694e-05,0.0001,0,frame_00.npz
36,8.725361798007433e-07,0.0001,0,frame_00.npz
37,9.098021850711205e-07,0.0001,0,frame_00.npz
38,4.729971796118975e-07,0.0001,0,frame_00.npz
39,4.850452624053561e-07,0.0001,0,frame_00.npz
40,3.298854114112136e-07,0.0001,0,frame_00.npz
41,3.0943091083391876e-07,0.0001,0,frame_00.npz
