image_index,data_index,loss,delta_weight,stage
0,0,9.09433657643946,0.0001,delta_weight_1em04
0,1,9.158280716416826,0.0001,delta_weight_1em04
0,2,9.231647629469924,0.0001,delta_weight_1em04
1,0,9.268968475455678,0.0001,delta_weight_1em04
1,1,9.319579685434862,0.0001,delta_weight_1em04
1,2,9.381919447676685,0.0001,delta_weight_1em04
2,0,9.657007054757566,0.0001,delta_weight_1em04
2,1,9.682940709243942,0.0001,delta_weight_1em04
2,2,9.728288530076856,0.0001,delta_weight_1em04
0,0,10.536798467897864,0.001,delta_weight_1em03
0,1,10.626619534024373,0.001,delta_weight_1em03
0,2,10.73255725500399,0.001,delta_weight_1em03
1,0,10.408784179093734,0.001,delta_weight_1em03
1,1,10.48211764738426,0.001,delta_weight_1em03
1,2,10.570375216020713,0.001,delta_weight_1em03
2,0,10.55367570910955,0.001,delta_weight_1em03
2,1,10.606220907991753,0.001,delta_weight_1em03
2,2,10.675510813556102,0.001,delta_weight_1em03
0,0,14.582998166993415,0.01,delta_weight_1em02
0,1,14.706735970127689,0.01,delta_weight_1em02
0,2,14.850064969655172,0.01,delta_weight_1em02
1,0,14.322927649875055,0.01,delta_weight_1em02
1,1,14.434121051109914,0.01,delta_weight_1em02
1,2,14.55862938079945,0.01,delta_weight_1em02
2,0,14.112368468102563,0.01,delta_weight_1em02
2,1,14.213332501471601,0.01,delta_weight_1em02
2,2,14.32192876817663,0.01,delta_weight_1em02
0,0,18.469682487164437,0.05,delta_weight_5em02
0,1,18.60413891794615,0.05,delta_weight_5em02
0,2,18.746570923986074,0.05,delta_weight_5em02
1,0,18.390713473167963,0.05,delta_weight_5em02
1,1,18.51372023423088,0.05,delta_weight_5em02
1,2,18.640641071614212,0.05,delta_weight_5em02
2,0,18.29865297108445,0.05,delta_weight_5em02
2,1,18.41377342760364,0.05,delta_weight_5em02
2,2,18.528437052398317,0.05,delta_weight_5em02
