label,i,j,relative_distance,stage,prior_weight
reconstruction,0,1,0.0009292731667887803,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,2,0.0024287844143335035,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,3,0.003903807319645024,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,4,0.005403991039865258,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,5,0.00692086842029102,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,6,0.008385622904749151,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,7,0.009838542617547255,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,8,0.011291476815687356,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,9,0.01273386729598348,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,10,0.014179508431579998,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,11,0.015616626527147404,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,12,0.017001833264784817,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,13,0.01836955710986347,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,0,14,0.019217842057586844,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,2,0.0015037810522681779,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,3,0.0029854154951078652,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,4,0.004493918704050343,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,5,0.0060203728398134934,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,6,0.007494935508216023,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,7,0.008957960758819694,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,8,0.010421259147091983,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,9,0.01187402484880656,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,10,0.013330299742494134,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,11,0.01477818601311001,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,12,0.016173876079251647,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,13,0.01755211004412209,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,1,14,0.018406762154525504,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,2,3,0.0014886790833278298,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,2,4,0.003009504097975073,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,2,5,0.004551093936937489,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,2,6,0.0060412143468841035,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,2,7,0.007520077400243668,02_residual_signed_ot_from_spatial_init,0.05
reconstruction,2,8,0.008999546809847403,02_residual_signed_ot_from_spatial_init,0.05
