iter,objective,data,prior,tv,step,relative_u_change,relative_objective_change,frame
1,18.792339576332424,1.0472179314418512e-05,18.792329104153108,0.0,10.0,0.9999999999999653,0.8001519763941567,0
2,17.99637286172753,13.309325969443659,4.687046892283869,0.0,10.0,13724668707313.64,0.04235591376857163,0
3,14.563329706629103,0.47865975975189134,14.084669946877211,0.0,10.0,0.7542229978918432,0.19076305994966405,0
4,14.45568258732813,9.214476630769774,5.241205956558357,0.0,10.0,1.835802911541047,0.007391655718126416,0
5,13.67448322241213,0.8345307004527118,12.839952521959418,0.0,10.0,0.6329424155745523,0.05404098770131732,0
6,12.651272949682737,2.797737807275144,9.853535142407592,0.0,5.0,0.49617927020274494,0.07482624798956226,0
7,12.154364362851332,3.1646125088213766,8.989751854029956,0.0,5.25,0.2092938155154036,0.03927735879288149,0
8,11.95470180048553,3.625076813293165,8.329624987192366,0.0,5.5125,0.15748186455794114,0.016427231931275262,0
9,11.891756860589213,3.7636041889811414,8.128152671608072,0.0,5.788125000000001,0.10030982400415935,0.005265287327681849,0
10,11.880531697526656,3.7530487248124094,8.127482972714247,0.0,6.077531250000001,0.05856957404863832,0.0009439448850285106,0
11,11.880531697525488,3.753048724773344,8.127482972752144,0.0,5.94314915360883e-09,7.318232722471337e-12,9.838303790465889e-14,0
12,11.880531697523345,3.7530487247017623,8.127482972821582,0.0,6.240306611289272e-09,1.3409996816580548e-11,1.8031906339366306e-13,0
13,11.880531697520343,3.753048724601597,8.127482972918745,0.0,6.552321941853736e-09,1.8764495290159693e-11,2.5268591802267456e-13,0
14,11.880531697516554,3.7530487244751587,8.127482973041396,0.0,6.879938038946423e-09,2.368639813584156e-11,3.1892252256952724e-13,0
15,11.880531697512017,3.753048724323696,8.127482973188322,0.0,7.223934940893745e-09,2.8374499999222018e-11,3.818697246333016e-13,0
16,11.880531697506747,3.7530487241477326,8.127482973359013,0.0,7.585131687938432e-09,3.29642917110812e-11,4.436207803396392e-13,0
17,11.88053169750074,3.753048723947279,8.12748297355346,0.0,7.964388272335354e-09,3.755213125524539e-11,5.056708726354315e-13,0
18,11.880531697493993,3.7530487237219656,8.127482973772027,0.0,8.362607685952122e-09,4.220949662836408e-11,5.678704832260024e-13,0
19,11.880531697486477,3.7530487234711227,8.127482974015354,0.0,8.780738070249728e-09,4.69917263858035e-11,6.326119048263772e-13,0
20,11.880531697478169,3.753048723193849,8.12748297428432,0.0,9.219774973762215e-09,5.194350128505907e-11,6.992970642578203e-13,0
21,11.880531697469038,3.7530487228890363,8.127482974580003,0.0,9.680763722450327e-09,5.710242643574868e-11,7.685240346991041e-13,0
22,11.880531697459045,3.7530487225554037,8.127482974903641,0.0,1.0164801908572844e-08,6.250140834621704e-11,8.411899259183818e-13,0
23,11.880531697448141,3.7530487221915108,8.127482975256632,0.0,1.0673042004001487e-08,6.817025494301148e-11,9.17743292799746e-13,0
24,11.880531697436286,3.7530487217957686,8.127482975640518,0.0,1.1206694104201562e-08,7.413683474404703e-11,9.97885098753849e-13,0
25,11.880531697423425,3.7530487213664445,8.12748297605698,0.0,1.176702880941164e-08,8.042786795537098e-11,1.0825124535488579e-12,0
26,11.8805316974095,3.753048720901667,8.127482976507833,0.0,1.2355380249882223e-08,8.7069521077799e-11,1.1720739120688789e-12,0
27,11.880531697394456,3.753048720399426,8.12748297699503,0.0,1.2973149262376334e-08,9.408786086709505e-11,1.2662704377245782e-12,0
28,11.880531697378222,3.75304871985757,8.127482977520652,0.0,1.3621806725495151e-08,1.0150918379101132e-10,1.3664476951682104e-12,0
29,11.880531697360734,3.7530487192738047,8.12748297808693,0.0,1.430289706176991e-08,1.093603057390075e-10,1.4720076112210761e-12,0
30,11.880531697341915,3.7530487186456893,8.127482978696227,0.0,1.5018041914858405e-08,1.1766876813607315e-10,1.5839968139460675e-12,0
