block,updates,relative_iterate_change,relative_objective_change,data,tv,prior,spatial_total,projected_gradient_residual_max
1,25,0.6717584948040634,inf,10.33587636670002,0.005227113725954504,0.0,10.341103480425975,
2,50,0.4515180295041542,0.7492969354489123,2.589607824613023,0.0029385087689385325,0.0,2.5925463333819616,
3,75,0.35625390804765805,0.6301411493272343,0.956872232651232,0.0020039745286830474,0.0,0.9588762071799151,
4,100,0.2997805338587009,0.5487254570498613,0.4312496430083676,0.0014667791319622986,0.0,0.4327164221403299,
5,125,0.26328478266960614,0.4913520395201934,0.21898198541793434,0.0011183401693721571,0.0,0.2201003255873065,
6,150,0.2387937529802853,0.45375791129827947,0.1193442842499972,0.0008837773222880887,0.0,0.12022806157228529,
7,175,0.2172614313991701,0.418842298212901,0.06915753260965851,0.0007139313435897979,0.0,0.06987146395324831,
8,200,0.19916434796472612,0.3901298417024717,0.04202153622983083,0.0005909845514266222,0.0,0.042612520781257456,
9,225,0.18510227583774172,0.36604675085527,0.02651631492006746,0.0004980310830919863,0.0,0.027014346003159447,
10,250,0.173034159151939,0.3470200993602131,0.017214805018048517,0.0004250199505963448,0.0,0.01763982496864486,
11,275,0.16057851465593126,0.32597722538506096,0.011522814203847653,0.00036682956491425854,0.0,0.011889643768761912,
12,300,0.1509549181538883,0.30915136537965526,0.007893962699794782,0.0003199814636675233,0.0,0.008213944163462305,
13,325,0.14234757805773907,0.2957311527216601,0.005502994547798906,0.00028183043951560805,0.0,0.005784824987314514,
14,350,0.1334421528360787,0.28026976446764357,0.003913487092017893,0.00025002635833517315,0.0,0.004163513450353066,
15,375,0.12519257074907494,0.2643459518964638,0.0028395156336179328,0.00022338989020347547,0.0,0.0030629055238214084,
16,400,0.11840120024720736,0.2511008281249177,0.0020926976234979583,0.00020110978657240868,0.0,0.002293807410070367,
17,425,0.11275390477307447,0.2415039804448347,0.0015577645879364757,0.00018207920198653663,0.0,0.0017398437899230122,
18,450,0.10644856429196028,0.22970643845370106,0.0011744308217538596,0.00016575964749044174,0.0,0.0013401904692443014,
19,475,0.10047377487175814,0.21588907901639381,0.000899420947750278,0.00015143703516643344,0.0,0.0010508579829167114,
20,500,0.0961648609569281,0.2071686083153678,0.0006944469734082967,0.0001387062234432965,0.0,0.0008331531968515932,
21,525,0.09216941093375124,0.1988907965779475,0.0005401192218260789,0.00012732747183334659,0.0,0.0006674466936594255,
22,550,0.08795872652225871,0.18996112974121737,0.0004233381676187516,0.00011731959788112805,0.0,0.0005406577654998797,
23,575,0.08404085053847914,0.18001523101843128,0.00033480246219790835,0.0001085286705635864,0.0,0.00044333113276149476,
24,600,0.08101355532381382,0.17296639504151157,0.0002660399478785052,0.00010060979686659764,0.0,0.00036664974474510286,
25,625,0.07798161584788839,0.16586589400242197,0.00021237298456591383,9.346207231541682e-05,0.0,0.00030583505688133066,
26,650,0.07499106405583407,0.15787874965042953,0.00017060925680691756,8.69409435368419e-05,0.0,0.00025755020034375943,
27,675,0.07204143879781756,0.14985698022600966,0.0001378897715573647,8.106473335641819e-05,0.0,0.00021895450491378287,
28,700,0.06957856062339715,0.14226986203717373,0.00011208590784675588,7.571796971825557e-05,0.0,0.00018780387756501144,
29,725,0.06762462185751852,0.13635892289384638,9.136738907652636e-05,7.082775389207338e-05,0.0,0.00016219514296859976,
30,750,0.06579134855825168,0.13085426621031795,7.462577768294473e-05,6.634543873876701e-05,0.0,0.00014097121642171176,
31,775,0.0640209038568141,0.12511649116705867,6.111396830598414e-05,6.221942403637452e-05,0.0,0.00012333339234235865,
32,800,0.06239670438641279,0.11960612204614321,5.016271592584366e-05,5.841924752004386e-05,0.0,0.00010858196344588752,
33,825,0.060874375248727096,0.11430563852527842,4.124661074458833e-05,5.492382192298294e-05,0.0,9.617043266757127e-05,
34,850,0.05935703018755727,0.10874644796451242,3.400346420760113e-05,5.1708775399415005e-05,0.0,8.571223960701614e-05,
35,875,0.05790370038141565,0.103237383866499,2.8134302599501776e-05,4.8729229521910105e-05,0.0,7.686353212141189e-05,
36,900,0.05649110607426454,0.09768764556218804,2.337923431308681e-05,4.597568022810309e-05,0.0,6.93549145411899e-05,
37,925,0.0552564369295338,0.09258235074132289,1.951492389021905e-05,4.341894953470159e-05,0.0,6.293387342492063e-05,
38,950,0.054034033184620016,0.08733700278249942,1.6370362696872523e-05,4.106705476228535e-05,0.0,5.743741745915787e-05,
39,975,0.052989889718816616,0.08266174267512245,1.378906063044827e-05,3.890047972411536e-05,0.0,5.2689540354563635e-05,
40,1000,0.05208026689560808,0.07791189460245827,1.1682658790686199e-05,3.690173957120881e-05,0.0,4.8584398361895006e-05,
