block,updates,relative_iterate_change,relative_objective_change,data,tv,prior,spatial_total,projected_gradient_residual_max
1,25,0.568760853081996,inf,19.2718085921972,0.00689131581421095,18.237330061956904,37.516029969968315,
2,50,0.16419009122986897,0.04563355164987954,12.586692981203852,0.005767082579239382,23.211580214852198,35.80404027863529,
3,75,0.04180156809431321,0.0021730178010356477,11.418521059984021,0.005544602374522362,24.302171799402274,35.72623746176082,
4,100,0.011269962126765152,0.00014281610740150472,11.161733488580227,0.005501810105012993,24.55389988090919,35.72113517959443,
5,125,0.003694671998183513,1.4524981870869002e-05,11.101086377694049,0.0054941813297767405,24.61403577172971,35.720616330753536,
6,150,0.0015106599401407416,2.3546962168668975e-06,11.085855918023531,0.005493256114072632,24.629183045415793,35.7205322195534,
7,175,0.0007009470143670049,5.007538724920521e-07,11.081703062224701,0.005493394311706931,24.633317875822158,35.72051433235856,
8,200,0.0003430081423747111,1.1931598428430116e-07,11.080439631053007,0.005493585606093531,24.63457685367114,35.720510070330235,
9,225,0.0001721340574663518,2.997994434200757e-08,11.08000313906388,0.0054937059421910055,24.635012154425258,35.72050899943133,
10,250,8.778827830255157e-05,7.78639986259231e-09,11.079833484520801,0.005493770899060745,24.635181465877306,35.720508721297165,
11,275,4.534905710555252e-05,2.075447074315904e-09,11.079761094122244,0.005493804345234905,24.635253748693664,35.72050864716114,
12,300,2.3683473060025465e-05,5.655402020312908e-10,11.079728201967567,0.005493821309911136,24.635286603682278,35.720508626959756,
