block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.7144344195044778,inf,0.0017725354203598825,4.612836812079024e-05,7.539675072064029,1.1510298714734453,0.00457718417944227,0.0,8.695282127716917
2,50,0.4543471842542635,0.5973163828136193,0.003107912808309993,1.8566058421876086e-05,1.8789667200785791,1.6198827648793863,0.0025981746865745424,0.0,3.5014476596445396
3,75,0.33180845070010223,0.2613966171976644,0.004145514161363215,8.14285711769891e-06,0.7562661526927271,1.828085638413554,0.0018292950122354757,0.0,2.5861810861185166
4,100,0.25200717496644776,0.09770263498346528,0.004805813902794798,4.472283979706226e-06,0.3953033497807082,1.9367878092789674,0.0014132204005639912,0.0,2.3335043794602397
5,125,0.19463009687055538,0.03770955969565873,0.005282410584070525,3.0459771734742125e-06,0.24467383186936864,1.999672411775081,0.0011627131184151162,0.0,2.245508956762865
6,150,0.15059616416414792,0.01562066472344991,0.005570567208598879,2.319062576097708e-06,0.17088279233353673,2.0385424147684175,0.0010074071137988693,0.0,2.210432614215753
7,175,0.11513067861950925,0.006874424921276418,0.0056763937197560725,1.916505049999462e-06,0.13075512773622014,2.063578566596467,0.0009034668330920365,0.0,2.195237161165779
8,200,0.08720311289123198,0.0031445201007311674,0.005751932765334443,1.671696881831719e-06,0.10755840246221748,2.0799429425421367,0.0008328487822640443,0.0,2.188334193786618
9,225,0.06590411722902541,0.0015249178441655636,0.005774030820320006,1.5054862857293017e-06,0.09326102943740466,2.0909505852715102,0.0007855492165987653,0.0,2.1849971639255137
10,250,0.04952766240855943,0.0007614285800487817,0.0057826350973126705,1.3960390181158577e-06,0.08417625105066917,2.098404864166632,0.0007523294202731076,0.0,2.1833334446375745
11,275,0.03746521903934869,0.00039705320230937733,0.0057740902781326835,1.3225711432418574e-06,0.07820404584892829,2.103533539519034,0.0007289597337094918,0.0,2.1824665451016716
