block,updates,relative_iterate_change,relative_objective_change,data,tv,prior,spatial_total
1,25,0.5694536121494803,inf,19.290144112664784,0.0068766413127745556,18.281783789542015,37.578804543519574
2,50,0.164806301932741,0.045683855135933885,12.585285209253554,0.005757165222372048,23.271017506095884,35.862059880571806
3,75,0.041918564454940625,0.002173059097464262,11.414875945444658,0.005540282778992278,24.363713276870868,35.78412950509452
4,100,0.011338805677355764,0.00014340880329529634,11.159658520216455,0.0054986438117565735,24.613840581877014,35.77899774590523
5,125,0.00375558591533875,1.488234037885357e-05,11.099707725142267,0.00549125550607759,24.673266290034015,35.77846527068236
6,150,0.0015399261951020982,2.4302374349709184e-06,11.084610064996859,0.005490300449224374,24.688277955070607,35.778378320516694
7,175,0.000709639307546771,5.10129413977437e-07,11.080446041852802,0.005490388392075162,24.69242363866865,35.77836006891353
8,200,0.00034375208166593,1.1913949032214457e-07,11.07915744376899,0.0054905434040821285,24.69370781912487,35.778355806297945
9,225,0.00017088835580230557,2.9371664277255455e-08,11.0787045716819,0.005490641403174729,24.694159542343016,35.77835475542809
10,250,8.644749663020652e-05,7.505794150007237e-09,11.078526561463235,0.005490693288066297,24.694337232131822,35.778354486883124
11,275,4.439696812139114e-05,1.976845827429712e-09,11.078450379435749,0.005490719244766415,24.694413317474318,35.77835441615483
12,300,2.309444167113525e-05,5.342679127293803e-10,11.078415905019767,0.005490731916832497,24.69444776010301,35.77835439703961
