iter,r_norm,s_norm,eps_pri,eps_dual,data_loss,transport_action,bb_continuity_residual_max,bb_iterations_max,u_mean,u_max,u_min
1,0.18492824183880344,inf,0.0718722363458861,0.025609246412091943,1.0939732255635892,9.58893298409585e-08,0.0001491310582279553,180,0.00703400741536812,0.2942585010353782,0.0
2,0.16937175168339688,6.621051964750157e-06,0.07186724308778637,0.025617690553794602,1.0939580789942278,1.0032851819813381e-07,9.423384534785209e-05,30,0.0070332501468689515,0.2941686430121612,0.0
3,0.1532571861240052,6.365040594046336e-06,0.07186509628765896,0.0256252414131616,1.0939595347907658,1.0324973197172958e-07,7.607224308128576e-05,10,0.007032812721134235,0.2940733178099129,0.0
4,0.14026041606368078,9.29745556934464e-06,0.07186505447272153,0.025631965130154935,1.0939837094150016,1.0347444761910945e-07,0.00011712980732297127,10,0.007032764548523793,0.2939808347808108,0.0
5,0.13376726314353257,9.576328328229763e-06,0.07186498714233451,0.025638120961422154,1.0940253542489289,1.0679813410960772e-07,6.117351842818857e-05,10,0.007033033099922699,0.29389778881709727,0.0
6,0.13106552464745064,8.460841531554041e-06,0.07186489829580005,0.025643890456576782,1.0940788644238137,1.098016444060813e-07,3.477942767126464e-05,10,0.007033516636993383,0.29382835751134606,0.0
7,0.13095227215520672,1.0057628349042947e-05,0.07186478905962744,0.025649481592066516,1.0941379088868723,1.1175636698626895e-07,5.8911018658734204e-05,10,0.007034108450357631,0.29377424433969124,0.0
8,0.13176111988905073,1.208002437663807e-05,0.07186466561513395,0.025655070459215872,1.0942001111510722,1.1562587599047835e-07,3.8387318702627105e-05,10,0.007034726833906903,0.29373516253337845,0.0
9,0.1315651412412756,1.3811040402313179e-05,0.0718645353642806,0.025660713335757097,1.0942622733071399,1.1893937405507875e-07,2.231065265959852e-05,10,0.007035313801030548,0.29370985450662723,0.0
10,0.1303402008597088,1.563755764080272e-05,0.07186440277242036,0.025666441400200163,1.0943209856003555,1.2211067258961455e-07,3.10899277035849e-05,10,0.007035846404695944,0.29369614360911456,0.0
11,0.12830525758690844,1.7668057872042046e-05,0.07186427381184994,0.02567225204156477,1.0943754693590595,1.264866171017185e-07,2.188522578326857e-05,10,0.007036329025978612,0.29369136420990516,0.0
12,0.1255890494604327,1.9573511757085233e-05,0.07186415341202916,0.025678102401480638,1.094427339542018,1.305918600875728e-07,1.8278008660980943e-05,10,0.007036769263556075,0.29369280538573805,0.0
13,0.12287692464805748,2.123869406082536e-05,0.07186404438232136,0.02568396417862218,1.0944773996020474,1.3512775579830412e-07,1.8818953898613776e-05,10,0.007037177013422547,0.2936977993638155,0.0
14,0.12047878841301927,2.287546749174379e-05,0.0718639502235035,0.025689811259002934,1.0945268610652281,1.407609021456022e-07,1.155744740871086e-05,10,0.007037572671907123,0.2937040018365669,0.0
15,0.11836953401121109,2.4393275283280836e-05,0.07186387291660142,0.02569561568429328,1.0945763137467666,1.465239310805618e-07,1.5932529214542386e-05,10,0.007037965523889633,0.29370950589439426,0.0
16,0.11664797240494634,2.5729403222106163e-05,0.07186381321060907,0.025701365384997243,1.0946268607146008,1.5298767134749147e-07,1.3407498718414777e-05,10,0.007038370746877053,0.29371282835964324,0.0
17,0.11510155789816984,2.7018166112553987e-05,0.07186377272059599,0.02570704965042334,1.0946808615271215,1.6046131954738677e-07,9.116603948302026e-06,10,0.007038799849592968,0.29371298800601664,0.0
18,0.11347841252392227,2.8246765403677393e-05,0.07186375185116567,0.02571265654559581,1.0947386949474178,1.6861763188481842e-07,1.3747488831357582e-05,10,0.007039267992588969,0.2937095416165512,0.0
19,0.1117492946875465,2.9399228465422542e-05,0.07186375062520646,0.025718179839638835,1.09480059125791,1.7808819293372786e-07,1.1008930475591237e-05,10,0.007039754311267966,0.2937025255539222,0.0
20,0.10981603761059823,3.05459365315183e-05,0.07186377052901743,0.025723611295133453,1.0948655857559588,1.8921366966174206e-07,9.25029702028541e-06,10,0.007040257573821045,0.29369232386568384,0.0
