block,updates,relative_iterate_change,relative_objective_change,data,tv,prior,spatial_total,projected_gradient_residual_max
1,25,0.9964943659970374,inf,0.0018456125577047376,0.0,0.0,0.0018456125577047376,0.0038185861357697285
2,50,0.7615760439793652,0.9774400055510363,4.1637008079316785e-05,0.0,0.0,4.1637008079316785e-05,0.00036408808955122997
3,75,0.37179069404796017,0.7828024627136809,9.04345483199571e-06,0.0,0.0,9.04345483199571e-06,0.0001292251940074429
4,100,0.21739838937750905,0.5826166682972552,3.774586725264988e-06,0.0,0.0,3.774586725264988e-06,6.764450864156483e-05
5,125,0.1460691925614261,0.4431057025821584,2.1020453793034546e-06,0.0,0.0,2.1020453793034546e-06,4.313985335962469e-05
6,150,0.10698419257638436,0.34536799501457255,1.3760658358557789e-06,0.0,0.0,1.3760658358557789e-06,3.0592085114233554e-05
7,175,0.08279976801999318,0.27590180134759107,9.964065170684895e-07,0.0,0.0,9.964065170684895e-07,2.2892113015420854e-05
8,200,0.06532588565391506,0.2166391418633023,7.805456476246282e-07,0.0,0.0,7.805456476246282e-07,1.7660296497944574e-05
9,225,0.05415328366184659,0.1735915181794097,6.450493700536203e-07,0.0,0.0,6.450493700536203e-07,1.4249121641882206e-05
10,250,0.04475167448467651,0.13686762837547478,5.567628557216589e-07,0.0,0.0,5.567628557216589e-07,1.170234690912953e-05
