kind,i,j,value,stage,framework,prior_weight
frame_pair_distance,0,1,0.00426310153534489,tv_prior_2em03,tv,0.002
frame_pair_distance,0,2,0.008834011391613538,tv_prior_2em03,tv,0.002
frame_pair_distance,1,2,0.004730572417403451,tv_prior_2em03,tv,0.002
cross_data_loss,0,0,0.021742909848833647,tv_prior_2em03,tv,0.002
cross_data_loss,0,1,0.021733638160503416,tv_prior_2em03,tv,0.002
cross_data_loss,0,2,0.021744979149930406,tv_prior_2em03,tv,0.002
cross_data_loss,1,0,0.021738260790622042,tv_prior_2em03,tv,0.002
cross_data_loss,1,1,0.021728123977818543,tv_prior_2em03,tv,0.002
cross_data_loss,1,2,0.02173845141267694,tv_prior_2em03,tv,0.002
cross_data_loss,2,0,0.021718417897625103,tv_prior_2em03,tv,0.002
cross_data_loss,2,1,0.02170732038311113,tv_prior_2em03,tv,0.002
cross_data_loss,2,2,0.021716287116674532,tv_prior_2em03,tv,0.002
mean_pairwise_frame_distance,-1,-1,0.0059425617814539596,tv_prior_2em03,tv,0.002
own_data_loss_mean,-1,-1,0.021729106981108904,tv_prior_2em03,tv,0.002
cross_data_loss_mean,-1,-1,0.021730177965744838,tv_prior_2em03,tv,0.002
cross_minus_own_data_loss_mean,-1,-1,1.0709846359341357e-06,tv_prior_2em03,tv,0.002
frame_pair_distance,0,1,0.005117763362121897,wavelet_prior_2em03,wavelet,0.002
frame_pair_distance,0,2,0.010588935057444388,wavelet_prior_2em03,wavelet,0.002
frame_pair_distance,1,2,0.005574662057184839,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,0,0,0.021337096890880113,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,0,1,0.02132720901777577,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,0,2,0.021337782918048123,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,1,0,0.021335567470686347,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,1,1,0.02132448593307955,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,1,2,0.021333687967837862,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,2,0,0.02131990530808234,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,2,1,0.021307495219139605,wavelet_prior_2em03,wavelet,0.002
cross_data_loss,2,2,0.021314938864095967,wavelet_prior_2em03,wavelet,0.002
mean_pairwise_frame_distance,-1,-1,0.007093786825583708,wavelet_prior_2em03,wavelet,0.002
own_data_loss_mean,-1,-1,0.021325507229351875,wavelet_prior_2em03,wavelet,0.002
cross_data_loss_mean,-1,-1,0.021326941316928343,wavelet_prior_2em03,wavelet,0.002
cross_minus_own_data_loss_mean,-1,-1,1.4340875764684569e-06,wavelet_prior_2em03,wavelet,0.002
frame_pair_distance,0,1,0.004649999760799526,tv_wavelet_prior_2em03,tv_wavelet,0.002
frame_pair_distance,0,2,0.009175831816222935,tv_wavelet_prior_2em03,tv_wavelet,0.002
frame_pair_distance,1,2,0.004831253519094579,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,0,0,0.021169961306918433,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,0,1,0.021158886551962512,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,0,2,0.021168268833792123,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,1,0,0.021172826554654356,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,1,1,0.021160553851550197,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,1,2,0.021168567551592868,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,2,0,0.02116211889703474,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,2,1,0.02114874328979495,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss,2,2,0.02115524343385808,tv_wavelet_prior_2em03,tv_wavelet,0.002
mean_pairwise_frame_distance,-1,-1,0.0062190283653723475,tv_wavelet_prior_2em03,tv_wavelet,0.002
own_data_loss_mean,-1,-1,0.021161919530775567,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_data_loss_mean,-1,-1,0.021163235279805254,tv_wavelet_prior_2em03,tv_wavelet,0.002
cross_minus_own_data_loss_mean,-1,-1,1.3157490296872298e-06,tv_wavelet_prior_2em03,tv_wavelet,0.002
