block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.6928909549654488,inf,0.0016649402902024423,5.00570075434581e-05,8.88177100397097,5.413294366855459,0.0049110545852024965,0.0,14.29997642541163
2,50,0.36739466052577463,0.26869635418020893,0.0026935654700874175,2.8393983917185395e-05,3.079076350388527,7.375387275463723,0.0031612691880708362,0.0,10.45762489504032
3,75,0.20059833995628437,0.046711876785945676,0.0033740385899044853,2.002604023787491e-05,1.848922140107416,8.117610889975262,0.0025965793868348718,0.0,9.969129609469512
4,100,0.10824617302945522,0.009373663349610328,0.0036925488357606325,1.6435974367290385e-05,1.429051463857915,8.444283805027744,0.002347075736043695,0.0,9.875682344621703
5,125,0.05799639496865326,0.002185629132485601,0.0037981458200744525,1.4606606071387862e-05,1.2554438862618948,8.596425084589134,0.002228794735092251,0.0,9.854097765586122
6,150,0.03191857952568302,0.0005896981901913939,0.0038764146831918034,1.3975093169527053e-05,1.1764307507362144,8.669686091009183,0.0021699802223888996,0.0,9.848286821967786
7,175,0.018656997681380377,0.00018894394749355373,0.003922905928681526,1.3770963686210447e-05,1.1384055071141534,8.705880066134942,0.002140474530499038,0.0,9.846426047779595
8,200,0.011798733657104241,7.286170828639185e-05,0.003951625737745241,1.3678701218877709e-05,1.1195813881055727,8.724001509441116,0.0021257228105487232,0.0,9.845708620357238
9,225,0.008113820980536644,3.366570233217503e-05,0.0039718615630969486,1.361795718424208e-05,1.110001225013929,8.733257445461266,0.00211848718637911,0.0,9.845377157661575
10,250,0.005947931510007748,1.7859484419222166e-05,0.003993798692481326,1.358379226262807e-05,1.1049668065619493,8.73811945347417,0.002115064265508696,0.0,9.845201324301627
11,275,0.004542648097183067,1.0332691916527583e-05,0.004016159680754688,1.3558005649894067e-05,1.1022324812494946,8.740753576715369,0.0021135389046234195,0.0,9.845099596869487
12,300,0.003556961725890851,6.304334805829146e-06,0.00403812291400241,1.354592208918648e-05,1.1006819891809796,8.742242548774874,0.0021129921095789784,0.0,9.845037530065431
13,325,0.0028254166828874335,3.964119251487258e-06,0.004058113414434457,1.3538953084535343e-05,1.099766087645613,8.743119494604402,0.002112920912612887,0.0,9.844998503162627
14,350,0.0022643426594943783,2.5404336646280262e-06,0.00407783770220442,1.353678765714239e-05,1.0992023107801137,8.743658123251084,0.00211305856580218,0.0,9.844973492597001
15,375,0.0018252795461774695,1.648172282310457e-06,0.004096287925719903,1.353603662634928e-05,1.0988406790814533,8.744003312471953,0.0021132748311628955,0.0,9.84495726638457
16,400,0.0014776046105322905,1.0788114792612766e-06,0.004112672881299974,1.353455292812944e-05,1.098599575769415,8.744233567712344,0.002113502049900111,0.0,9.844946645531659
17,425,0.0012004547230274269,7.114058352890215e-07,0.004127879965953619,1.3535916167817241e-05,1.0984331472805664,8.744392783186536,0.002113711312065322,0.0,9.844939641779167
18,450,0.000978398076312527,4.7225381297317756e-07,0.004141802352626264,1.3537189834711416e-05,1.098314781597626,8.744506318805676,0.00211389206558036,0.0,9.844934992468882
19,475,0.0007998075838703561,3.154055230097496e-07,0.0041544185695439745,1.353837677114944e-05,1.0982284495736834,8.744589396716576,0.0021140410317524905,0.0,9.844931887322012
20,500,0.0006545081242459189,2.112705945345727e-07,0.004165583389369994,1.3550561266062466e-05,1.098164580682894,8.744651060598372,0.002114166096133389,0.0,9.8449298073774
21,525,0.0005378094031778076,1.424999910412489e-07,0.004175120635427285,1.3562789088428229e-05,1.0981165866568279,8.744697551013878,0.002114266804284018,0.0,9.84492840447499
22,550,0.00044328897069118364,9.678456257706939e-08,0.004183253637058808,1.3572828222896405e-05,1.0980797016547386,8.744733405837607,0.0021143441455553046,0.0,9.8449274516379
23,575,0.00036647802592545655,6.613386093675071e-08,0.004190186990466333,1.3581131973028349e-05,1.0980510716649134,8.744761326510623,0.0021144023792997427,0.0,9.844926800554838
24,600,0.00030389836759517493,4.5467146931235036e-08,0.004196097676276086,1.3588052319768451e-05,1.0980286761724236,8.744783231489274,0.0021144452724054376,0.0,9.844926352934104
25,625,0.0002527764846944392,3.145148548193712e-08,0.0042011376437969305,1.3593860949179248e-05,1.0980110507288194,8.74480051653542,0.002114476032304924,0.0,9.844926043296546
26,650,0.00021089709355298956,2.1890074448241435e-08,0.004205436736087648,1.3598767830802494e-05,1.0979971126660653,8.744814217801549,0.0021144973227663864,0.0,9.844925827790382
27,675,0.00017648800142838883,1.532790602672371e-08,0.004209105514570102,1.3602939167467465e-05,1.0979860482274484,8.74482511724586,0.0021145114149761553,0.0,9.844925676888284
28,700,0.00014813076909394227,1.0796922364401297e-08,0.004212236476384573,1.360649931914093e-05,1.0979772380524537,8.744833812603183,0.0021145199377489666,0.0,9.844925570593386
29,725,0.00012468715290521915,7.649140775523798e-09,0.004214899908810824,1.3609551931803576e-05,1.0979702049232354,8.744840766105042,0.002114524259885416,0.0,9.844925495288164
30,750,0.00010524516133846269,5.449299212973869e-09,0.004217178827670091,1.3612174239729935e-05,1.0979645784488228,8.744846337671046,0.002114525520350761,0.0,9.84492544164022
31,775,8.906870628161668e-05,3.902635912779693e-09,0.004219129674294819,1.3614432475717031e-05,1.0979600691690008,8.744850809472762,0.0021145245772952364,0.0,9.84492540321906
32,800,7.556612648419125e-05,2.8089069620821642e-09,0.004220800447684679,1.3616380784453597e-05,1.0979564495306713,8.744854403940293,0.0021145220946148678,0.0,9.84492537556558
33,825,6.425986296844323e-05,2.0311472750903198e-09,0.004222231987924499,1.3618063925302515e-05,1.097953539885455,8.744857297102536,0.0021145185810964836,0.0,9.844925355569087
