block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.8685710415695569,inf,0.003566378589716366,1.4807642253755748e-05,1.3580345775160334,8.50633635363131,0.0,0.012639009827977414,9.87700994097532
2,50,0.10202102081044913,0.00222663080436283,0.003848686516464099,1.2426125103548458e-05,1.1083178495899508,8.736362877008188,0.0,0.01033675978760582,9.855017486385744
3,75,0.023682201068759547,7.647283374360133e-05,0.0039503613056202464,1.2433866229011326e-05,1.0938177537903448,8.750707808004037,0.0,0.00973828347758467,9.854263845271968
4,100,0.010277891712329216,1.3571887552763046e-05,0.004020549465868092,1.2259088466748391e-05,1.092133643154143,8.752530424988874,0.0,0.009466036168126045,9.854130104311144
5,125,0.004976986859675262,3.1401488420384953e-06,0.0040652843197092016,1.2229817973219426e-05,1.09175432103056,8.753022864147379,0.0,0.009321975697968702,9.854099160875908
6,150,0.0025729372286376357,8.3122355633767e-07,0.004096764869912928,1.220604590379537e-05,1.0916361440209854,8.753213873351452,0.0,0.009240952544121984,9.854090969916559
7,175,0.0013888100245590803,2.411139091992627e-07,0.004117983299006897,1.2197845838002319e-05,1.0915948053246947,8.753299587408257,0.0,0.009194201225211376,9.854088593958164
8,200,0.00077469999778925,7.45547113950393e-08,0.004130924121635403,1.2194591862024762e-05,1.09157588484757,8.753345088372132,0.0,0.00916688606973058,9.854087859289432
9,225,0.00044028102950226505,2.4046829274828888e-08,0.004138567178939127,1.2192884955131156e-05,1.0915676476224312,8.753369046930494,0.0,0.00915092777693845,9.854087622329864
10,250,0.00025304705248249817,7.945718423998207e-09,0.0041430226653368235,1.2191907914571587e-05,1.0915641282773323,8.753381826024858,0.0,0.009141589729867375,9.854087544032058
11,275,0.00014632466686526692,2.65978717623621e-09,0.004145606557926399,1.2191323087995531e-05,1.0915626131368767,8.753388777348826,0.0,0.009136127336580107,9.854087517822283
12,300,8.475819480835253e-05,8.938485496014875e-10,0.004147099035630057,1.2190960589353317e-05,1.0915619533238776,8.753392612976931,0.0,0.009132942713412095,9.85408750901422
13,325,4.918905408223863e-05,3.017537300737304e-10,0.004147957625990483,1.2190714973603356e-05,1.091561662471968,8.753394753427616,0.0,0.009131090141130874,9.854087506040713
14,350,2.8629155712853673e-05,1.0245651884997283e-10,0.00414845594274286,1.219056105022931e-05,1.0915615308814695,8.75339596731194,0.0,0.009130006837689093,9.854087505031098
