block,updates,relative_iterate_change,relative_objective_change,data,tv,prior,spatial_total
1,25,0.6508497417507993,inf,11.956710307355488,0.0055539362480541855,4.776319098203226,16.738583341806766
2,50,0.36853226092862834,0.34173722220643776,4.10729044684628,0.0035436015484138325,6.907552318511734,11.018386366906428
3,75,0.22007211466434146,0.08039038855966267,2.320381288453904,0.0028229383490276506,7.809409778767318,10.13261400557025
4,100,0.13232595156776958,0.01990288690755918,1.6804110367792893,0.002492281286967726,8.248042416873158,9.930945734939415
5,125,0.07880427394463167,0.005533854138234164,1.3981495485358684,0.0023193319870604755,8.475520449264607,9.875989329787537
6,150,0.0470691595085003,0.0016985025255490868,1.2593898123222678,0.0022239712242457625,8.597601153422081,9.859214936968595
7,175,0.02867627377855874,0.0005755044549687196,1.186663278254665,0.002170534624101979,8.664707101971107,9.853540914849875
8,200,0.01809984862163311,0.00021697016068000002,1.1471139348738215,0.002140437844688373,8.702148617775803,9.851402990494313
9,225,0.012020927767896534,9.24134665115688e-05,1.1251648372177807,0.002123461588224189,8.723204289387953,9.850492588193958
10,250,0.008471415696288415,4.492074332126446e-05,1.1127551059665917,0.0021139892121825273,8.735181001566042,9.850050096744816
11,275,0.006309604527036048,2.4566815617852064e-05,1.1056048400816616,0.0021087666396061924,8.742094505658995,9.849808112380263
12,300,0.004906217001399083,1.4705898428138323e-05,1.1013977092364313,0.0021059719837576863,8.746159580882436,9.849663262102625
13,325,0.003927827185006486,9.36943769726254e-06,1.0988603097800596,0.002104577016523059,8.74860608949977,9.849570976296352
14,350,0.0032035915958713466,6.206265726864276e-06,1.0972923605346854,0.0021039668384654274,8.750113519868426,9.849509847241578
15,375,0.0026431138982440303,4.212671759579343e-06,1.0962997402859578,0.0021037823266229,8.751064831877018,9.849468354489598
16,400,0.0021976605795992438,2.9064404678408337e-06,1.09565118317148,0.0021038289615435586,8.751684715463163,9.849439727596186
17,425,0.0018355417656652168,2.024774959460228e-06,1.0952153865559437,0.0021039943092473565,8.75210040383207,9.849419784697261
18,450,0.0015381043976948805,1.4204765788402037e-06,1.0949133113943645,0.002104215617916166,8.752388266814862,9.849405793827142
19,475,0.0012928273872313326,1.0019938907801647e-06,1.0946982418932978,0.0021044514694495134,8.752593231419961,9.849395924782709
20,500,0.0010894681442222096,7.110376656362071e-07,1.0945412009850544,0.002104674160981923,8.752743046345186,9.849388921491222
21,525,0.0009199953507346027,5.067160499518237e-07,1.0944238876907835,0.00210487667447862,8.752855166282512,9.849383930647774
22,550,0.0007782888613076789,3.624604335395339e-07,1.094334530414833,0.002105056870897977,8.752940773350073,9.849380360635804
23,575,0.0006594198848548079,2.6012624398038904e-07,1.0942658579713416,0.002105210012301534,8.753006730569842,9.849377798553485
24,600,0.0005588721631806439,1.86902566436941e-07,1.0942121006411498,0.002105341344447318,8.7530585156939,9.849375957679497
25,625,0.00047494722286413625,1.3484669962986604e-07,1.0941694684282526,0.002105452365036718,8.753099708730366,9.849374629523655
26,650,0.0004043656772650748,9.773222129633176e-08,1.094135166566461,0.002105544106311719,8.753132956249623,9.849373666922395
27,675,0.000344849619783819,7.106899651099135e-08,1.0941074985524457,0.002105619273378682,8.753159849111467,9.849372966937292
28,700,0.00029465252417759544,5.186921380341335e-08,1.0940849991445798,0.0021056804324699994,8.75318177648101,9.84937245605806
29,725,0.0002522434458753875,3.800701154068392e-08,1.0940665139369152,0.002105729821641348,8.75319983795429,9.849372081712847
30,750,0.0002163429594467866,2.79549488034521e-08,1.094051277763091,0.002105769387884612,8.753214759223178,9.849371806374155
31,775,0.00018590302858937928,2.0639570009763974e-08,1.0940386853988815,0.0021058008069352904,8.75322711688154,9.849371603087356
32,800,0.00016004958476382707,1.529665008884737e-08,1.094028254238333,0.0021058255037613525,8.75323737268287,9.849371452424965
33,825,0.0001380530823545047,1.1380071343721716e-08,1.0940195966503516,0.002105844681935916,8.753245899006128,9.849371340338415
34,850,0.00011930414830395316,8.498349656131929e-09,1.0940123992992903,0.0021058593526339926,8.75325299798309,9.849371256635013
35,875,0.00010329334459375464,6.370056146510248e-09,1.094006407515578,0.002105870353914317,8.753258916024473,9.849371193893965
36,900,8.959471224407864e-05,4.792262225267763e-09,1.0940014133077764,0.002105878387010669,8.753263854998409,9.849371146693196
37,925,7.785138585393948e-05,3.6181669059186807e-09,1.093997246192985,0.002105884054425168,8.753267980809117,9.849371111056527
38,950,6.776429265671871e-05,2.741198397375797e-09,1.0939937659570949,0.0021058878356878274,8.753271430264665,9.849371084057447
