sparsity,sequence,G_2,G_3,G_4,G_5,E_2,E_3,E_4,E_5
8,static,0.22891438518128635,0.4172966320847508,0.5420758698189666,0.6195515806807436,0.16443972920571584,0.2345787422460538,0.26921176142302833,0.28160256617574675
8,static+UOT,0.1823856178894105,0.3054112473545678,0.3457672735241143,0.32932185117462137,0.21096849649759164,0.34646412697623674,0.4655203577178806,0.5718322956818691
8,StarWarps,0.2009613223087245,0.36872690421471743,0.47591847545995053,0.5333170725688151,0.1923927920782777,0.28314847011608707,0.3353691557820444,0.36783707428767515
8,StarWarps+UOT,0.14895005761376168,0.2529237736341046,0.2877797323629427,0.27253384263012204,0.2444040567732405,0.39895160069669994,0.5235078988790521,0.6286203042263684
12,static,0.25559892203528667,0.45726690071505777,0.5866895410274008,0.6655994646161194,0.1377551923517155,0.19460847361574682,0.22459809021459406,0.23555468224037104
12,static+UOT,0.20305436499242008,0.3224494904517634,0.35242266829423113,0.3274755300602764,0.1902997493945821,0.32942588387904115,0.4588649629477637,0.573678616796214
12,StarWarps,0.2005133749143177,0.36075675857332223,0.45313751129524604,0.493595184589753,0.19284073947268446,0.2911186157574824,0.3581501199467488,0.4075589622667374
12,StarWarps+UOT,0.1545081102648538,0.26108532022610426,0.29635902169385275,0.28210169358838433,0.2388460041221484,0.3907900541047003,0.5149286095481421,0.6190524532681062
21,static,0.23238204147809932,0.40069302902389725,0.5031128685337334,0.5556027762341839,0.16097207290890284,0.25118234530690736,0.3081747627082616,0.34555137062230645
21,static+UOT,0.13055112422277151,0.176841976562134,0.16740040019130922,0.13366580879952322,0.26280299016423064,0.47503339776867054,0.6438872310506857,0.7674883380569673
21,StarWarps,0.19669620439510857,0.36288832068452637,0.47308141821158783,0.537985117042885,0.19665790999189361,0.28898705364627825,0.33820621303040704,0.3631690298136053
21,StarWarps+UOT,0.1394161389153189,0.2648602132497762,0.322394792410837,0.31669278750006763,0.2539379754716833,0.3870151610810284,0.48889283883115786,0.5844613593564227
34,static,0.22313697818011516,0.3779924557078609,0.46552831621202806,0.4998599390485616,0.17021713620688703,0.2738829186229437,0.3457593150299668,0.4012942078079287
34,static+UOT,0.13469190958088723,0.18368682207465978,0.175493661511965,0.1415003136488096,0.25866220480611496,0.4681885522561448,0.63579396973003,0.7596538332076808
34,StarWarps,0.1950927242421144,0.3555630237846527,0.460351401663413,0.5260613798401406,0.1982613901448877,0.29631235054615185,0.3509362295785819,0.3750927670163498
34,StarWarps+UOT,0.13133222647770498,0.21495230437660204,0.235537926038612,0.21757404367206634,0.26202188790929715,0.4369230699542026,0.5757497052033829,0.683580103184424
