sparsity,sequence,lag,G_l,raw_E_l,reference_E_l,raw_minus_reference
12,static,2,0.25559892203528667,0.1377551923517155,0.39335411438700213,-0.25559892203528667
12,static,3,0.45726690071505777,0.19460847361574682,0.6518753743308047,-0.4572669007150578
12,static,4,0.5866895410274008,0.22459809021459406,0.8112876312419949,-0.5866895410274008
12,static,5,0.6655994646161194,0.23555468224037104,0.9011541468564903,-0.6655994646161193
12,static+UOT,2,0.20305436499242008,0.1902997493945821,0.39335411438700213,-0.20305436499242002
12,static+UOT,3,0.3224494904517634,0.32942588387904115,0.6518753743308047,-0.3224494904517635
12,static+UOT,4,0.35242266829423113,0.4588649629477637,0.8112876312419949,-0.3524226682942312
12,static+UOT,5,0.3274755300602764,0.573678616796214,0.9011541468564903,-0.3274755300602763
12,StarWarps,2,0.2005133749143177,0.19284073947268446,0.39335411438700213,-0.20051337491431767
12,StarWarps,3,0.36075675857332223,0.2911186157574824,0.6518753743308047,-0.3607567585733223
12,StarWarps,4,0.45313751129524604,0.3581501199467488,0.8112876312419949,-0.4531375112952461
12,StarWarps,5,0.493595184589753,0.4075589622667374,0.9011541468564903,-0.49359518458975293
12,StarWarps+UOT,2,0.1545081102648538,0.2388460041221484,0.39335411438700213,-0.15450811026485373
12,StarWarps+UOT,3,0.26108532022610426,0.3907900541047003,0.6518753743308047,-0.26108532022610437
12,StarWarps+UOT,4,0.29635902169385275,0.5149286095481421,0.8112876312419949,-0.29635902169385275
12,StarWarps+UOT,5,0.28210169358838433,0.6190524532681062,0.9011541468564903,-0.2821016935883841
