sparsity,sequence,lag,G_l,raw_E_l,reference_E_l,raw_minus_reference
8,static,2,0.17334275366718976,0.2541171930584156,0.42745994672560533,-0.1733427536671897
8,static,3,0.31336834767675104,0.3602360198740115,0.6736043675507625,-0.313368347676751
8,static,4,0.39632825527828963,0.4214114410354481,0.8177396963137377,-0.3963282552782896
8,static,5,0.44372400647971116,0.45363886088726596,0.897362867366977,-0.44372400647971105
8,static+UOT,2,0.15445097289522908,0.2730089738303763,0.42745994672560533,-0.15445097289522902
8,static+UOT,3,0.25112420078241166,0.4224801667683509,0.6736043675507625,-0.2511242007824116
8,static+UOT,4,0.28154201024270176,0.5361976860710359,0.8177396963137377,-0.28154201024270176
8,static+UOT,5,0.2685096906784665,0.6288531766885105,0.897362867366977,-0.26850969067846653
8,StarWarps,2,0.1364605612562762,0.2909993854693292,0.42745994672560533,-0.13646056125627615
8,StarWarps,3,0.24716511854407663,0.4264392490066858,0.6736043675507625,-0.2471651185440767
8,StarWarps,4,0.30672725665964945,0.5110124396540882,0.8177396963137377,-0.3067272566596495
8,StarWarps,5,0.3393062257776743,0.5580566415893029,0.897362867366977,-0.3393062257776741
8,StarWarps+UOT,2,0.1339199664308472,0.2935399802947582,0.42745994672560533,-0.13391996643084714
8,StarWarps+UOT,3,0.21401313921328127,0.4595912283374812,0.6736043675507625,-0.2140131392132813
8,StarWarps+UOT,4,0.23846987767916172,0.5792698186345759,0.8177396963137377,-0.23846987767916172
8,StarWarps+UOT,5,0.22961303171717923,0.6677498356497977,0.897362867366977,-0.22961303171717928
12,static,2,0.20114800278293618,0.22631194394266918,0.42745994672560533,-0.20114800278293615
12,static,3,0.3505880355213804,0.323016332029382,0.6736043675507625,-0.35058803552138046
12,static,4,0.4449398611999831,0.37279983511375453,0.8177396963137377,-0.44493986119998313
12,static,5,0.5041853850129613,0.39317748235401584,0.897362867366977,-0.5041853850129612
12,static+UOT,2,0.17376801940688316,0.2536919273187222,0.42745994672560533,-0.17376801940688313
12,static+UOT,3,0.26564384867536983,0.40796051887539253,0.6736043675507625,-0.26564384867536994
12,static+UOT,4,0.29137622808606733,0.5263634682276703,0.8177396963137377,-0.29137622808606733
12,static+UOT,5,0.2752824028304524,0.6220804645365247,0.897362867366977,-0.27528240283045236
12,StarWarps,2,0.13195037831497836,0.29550956841062703,0.42745994672560533,-0.1319503783149783
12,StarWarps,3,0.23789581486657477,0.4357085526841877,0.6736043675507625,-0.2378958148665748
12,StarWarps,4,0.2872860646520928,0.5304536316616448,0.8177396963137377,-0.28728606465209283
12,StarWarps,5,0.3030831512477033,0.5942797161192737,0.897362867366977,-0.30308315124770335
12,StarWarps+UOT,2,0.13404332408986433,0.29341662263574103,0.42745994672560533,-0.1340433240898643
12,StarWarps+UOT,3,0.2130350519129972,0.4605693156377652,0.6736043675507625,-0.21303505191299726
12,StarWarps+UOT,4,0.23895096988452427,0.5787887264292134,0.8177396963137377,-0.23895096988452424
12,StarWarps+UOT,5,0.2347522783217298,0.6626105890452473,0.897362867366977,-0.23475227832172973
21,static,2,0.2154238269713928,0.21203611975421255,0.42745994672560533,-0.21542382697139278
21,static,3,0.36554015710721943,0.308064210443543,0.6736043675507625,-0.3655401571072195
21,static,4,0.46581526511896315,0.35192443119477446,0.8177396963137377,-0.4658152651189632
21,static,5,0.5301877829893085,0.36717508437766855,0.897362867366977,-0.5301877829893085
21,static+UOT,2,0.12311490984461346,0.3043450368809919,0.42745994672560533,-0.12311490984461343
21,static+UOT,3,0.1677824325517088,0.5058219349990537,0.6736043675507625,-0.16778243255170877
21,static+UOT,4,0.16168377443263066,0.656055921881107,0.8177396963137377,-0.1616837744326307
21,static+UOT,5,0.13169256223660578,0.7656703051303714,0.897362867366977,-0.13169256223660564
21,StarWarps,2,0.17569783555907878,0.25176211116652664,0.42745994672560533,-0.1756978355590787
21,StarWarps,3,0.3113113766640128,0.36229299088674966,0.6736043675507625,-0.3113113766640128
21,StarWarps,4,0.3974707216256466,0.420268974688091,0.8177396963137377,-0.3974707216256467
21,StarWarps,5,0.4615137855745428,0.4358490817924343,0.897362867366977,-0.4615137855745427
21,StarWarps+UOT,2,0.11859392662822239,0.308866020097383,0.42745994672560533,-0.11859392662822232
21,StarWarps+UOT,3,0.20671052652554003,0.4668938410252224,0.6736043675507625,-0.20671052652554006
21,StarWarps+UOT,4,0.23517170706262436,0.5825679892511132,0.8177396963137377,-0.23517170706262447
21,StarWarps+UOT,5,0.23691769983597885,0.6604451675309981,0.897362867366977,-0.23691769983597888
34,static,2,0.21755463660640043,0.20990531011920494,0.42745994672560533,-0.2175546366064004
34,static,3,0.36388420228396595,0.3097201652667965,0.6736043675507625,-0.36388420228396595
34,static,4,0.45712084204420517,0.3606188542695324,0.8177396963137377,-0.4571208420442053
34,static,5,0.5101901324299973,0.3871727349369798,0.897362867366977,-0.5101901324299972
34,static+UOT,2,0.1389840556018849,0.2884758911237205,0.42745994672560533,-0.13898405560188482
34,static+UOT,3,0.18941109277731003,0.48419327477345236,0.6736043675507625,-0.1894110927773101
34,static+UOT,4,0.18479631196962734,0.6329433843441102,0.8177396963137377,-0.18479631196962742
34,static+UOT,5,0.1527798426288061,0.7445830247381711,0.897362867366977,-0.15277984262880595
34,StarWarps,2,0.1609391433531126,0.2665208033724928,0.42745994672560533,-0.16093914335311255
34,StarWarps,3,0.28518430224686386,0.38842006530389855,0.6736043675507625,-0.2851843022468639
34,StarWarps,4,0.36063393567664925,0.45710576063708835,0.8177396963137377,-0.3606339356766493
34,StarWarps,5,0.4279536104645537,0.4694092569024234,0.897362867366977,-0.4279536104645536
34,StarWarps+UOT,2,0.11856590845214256,0.30889403827346285,0.42745994672560533,-0.11856590845214249
34,StarWarps+UOT,3,0.18417413587972153,0.4894302316710408,0.6736043675507625,-0.18417413587972165
34,StarWarps+UOT,4,0.20326334510692085,0.6144763512068169,0.8177396963137377,-0.2032633451069208
34,StarWarps+UOT,5,0.2026370287208453,0.6947258386461317,0.897362867366977,-0.20263702872084532
