sparsity,sequence,G_2,G_3,G_4,G_5,E_2,E_3,E_4,E_5
8,static,0.17334275366718976,0.31336834767675104,0.39632825527828963,0.44372400647971116,0.2541171930584156,0.3602360198740115,0.4214114410354481,0.45363886088726596
8,static+UOT,0.15445097289522908,0.25112420078241166,0.28154201024270176,0.2685096906784665,0.2730089738303763,0.4224801667683509,0.5361976860710359,0.6288531766885105
8,StarWarps,0.1364605612562762,0.24716511854407663,0.30672725665964945,0.3393062257776743,0.2909993854693292,0.4264392490066858,0.5110124396540882,0.5580566415893029
8,StarWarps+UOT,0.1339199664308472,0.21401313921328127,0.23846987767916172,0.22961303171717923,0.2935399802947582,0.4595912283374812,0.5792698186345759,0.6677498356497977
12,static,0.20114800278293618,0.3505880355213804,0.4449398611999831,0.5041853850129613,0.22631194394266918,0.323016332029382,0.37279983511375453,0.39317748235401584
12,static+UOT,0.17376801940688316,0.26564384867536983,0.29137622808606733,0.2752824028304524,0.2536919273187222,0.40796051887539253,0.5263634682276703,0.6220804645365247
12,StarWarps,0.13195037831497836,0.23789581486657477,0.2872860646520928,0.3030831512477033,0.29550956841062703,0.4357085526841877,0.5304536316616448,0.5942797161192737
12,StarWarps+UOT,0.13404332408986433,0.2130350519129972,0.23895096988452427,0.2347522783217298,0.29341662263574103,0.4605693156377652,0.5787887264292134,0.6626105890452473
21,static,0.2154238269713928,0.36554015710721943,0.46581526511896315,0.5301877829893085,0.21203611975421255,0.308064210443543,0.35192443119477446,0.36717508437766855
21,static+UOT,0.12311490984461346,0.1677824325517088,0.16168377443263066,0.13169256223660578,0.3043450368809919,0.5058219349990537,0.656055921881107,0.7656703051303714
21,StarWarps,0.17569783555907878,0.3113113766640128,0.3974707216256466,0.4615137855745428,0.25176211116652664,0.36229299088674966,0.420268974688091,0.4358490817924343
21,StarWarps+UOT,0.11859392662822239,0.20671052652554003,0.23517170706262436,0.23691769983597885,0.308866020097383,0.4668938410252224,0.5825679892511132,0.6604451675309981
34,static,0.21755463660640043,0.36388420228396595,0.45712084204420517,0.5101901324299973,0.20990531011920494,0.3097201652667965,0.3606188542695324,0.3871727349369798
34,static+UOT,0.1389840556018849,0.18941109277731003,0.18479631196962734,0.1527798426288061,0.2884758911237205,0.48419327477345236,0.6329433843441102,0.7445830247381711
34,StarWarps,0.1609391433531126,0.28518430224686386,0.36063393567664925,0.4279536104645537,0.2665208033724928,0.38842006530389855,0.45710576063708835,0.4694092569024234
34,StarWarps+UOT,0.11856590845214256,0.18417413587972153,0.20326334510692085,0.2026370287208453,0.30889403827346285,0.4894302316710408,0.6144763512068169,0.6947258386461317
