sparsity,sequence,lag,G_l,raw_E_l,reference_E_l,raw_minus_reference
34,static,2,0.21755463660640043,0.20990531011920494,0.42745994672560533,-0.2175546366064004
34,static,3,0.36388420228396595,0.3097201652667965,0.6736043675507625,-0.36388420228396595
34,static,4,0.45712084204420517,0.3606188542695324,0.8177396963137377,-0.4571208420442053
34,static,5,0.5101901324299973,0.3871727349369798,0.897362867366977,-0.5101901324299972
34,static+UOT,2,0.1389840556018849,0.2884758911237205,0.42745994672560533,-0.13898405560188482
34,static+UOT,3,0.18941109277731003,0.48419327477345236,0.6736043675507625,-0.1894110927773101
34,static+UOT,4,0.18479631196962734,0.6329433843441102,0.8177396963137377,-0.18479631196962742
34,static+UOT,5,0.1527798426288061,0.7445830247381711,0.897362867366977,-0.15277984262880595
34,StarWarps,2,0.1609391433531126,0.2665208033724928,0.42745994672560533,-0.16093914335311255
34,StarWarps,3,0.28518430224686386,0.38842006530389855,0.6736043675507625,-0.2851843022468639
34,StarWarps,4,0.36063393567664925,0.45710576063708835,0.8177396963137377,-0.3606339356766493
34,StarWarps,5,0.4279536104645537,0.4694092569024234,0.897362867366977,-0.4279536104645536
34,StarWarps+UOT,2,0.11856590845214256,0.30889403827346285,0.42745994672560533,-0.11856590845214249
34,StarWarps+UOT,3,0.18417413587972153,0.4894302316710408,0.6736043675507625,-0.18417413587972165
34,StarWarps+UOT,4,0.20326334510692085,0.6144763512068169,0.8177396963137377,-0.2032633451069208
34,StarWarps+UOT,5,0.2026370287208453,0.6947258386461317,0.897362867366977,-0.20263702872084532
