sequence,lag,start,end,e_window,reference_e_window,absolute_gap_window,direct_mass_ratio,path_mass_ratio,path_to_direct_mass_ratio,direct_entropy_fraction,path_entropy_fraction,direct_effective_support,path_effective_support,direct_spread_rms,path_spread_rms,direct_displacement_rms,path_displacement_rms
starwarps,2,0,2,0.18145900376703325,0.3573905887245764,0.17593158495754316,0.6283447980153628,0.5338418890071042,0.8496002365154488,0.9682148616269376,0.9611213134059139,56.15190800347182,54.452809674438015,0.10891764581918982,0.10409884156631376,0.1535033577219838,0.18499693131134293
starwarps,2,1,3,0.22193716715255504,0.3704002650475705,0.14846309789501547,0.707538400381181,0.5402980480141378,0.7636307057299736,0.9697750909659061,0.9620505007587659,56.5429988093303,54.66994115128161,0.11233776312956952,0.10898794984616274,0.1517681394076955,0.18641367724131003
starwarps,2,2,4,0.2112641503073952,0.39518366564696583,0.18391951533957063,0.7657662003786311,0.6488819437185686,0.8473629985206067,0.9788779515646352,0.9744034513060456,58.693837793949115,57.56066528097731,0.11650394177286862,0.1169879702994843,0.1472260692145393,0.1840645940035015
starwarps,2,3,5,0.21821872143134813,0.44728920186699855,0.22907048043565043,0.858900740353736,0.7366110904013278,0.857620742180239,0.9820583508996149,0.9784811674158881,59.449591663848956,58.54774751550367,0.12058745664170717,0.1278553063036232,0.14498970231443026,0.1798151747896467
starwarps,2,4,6,0.16190844074153157,0.47449552469332934,0.3125870839517978,0.9341304975624678,0.9065758782739466,0.9705023876637979,0.9835962213636883,0.9763119680749295,59.80490625382634,58.05593198307434,0.11588132702914944,0.1212659949941665,0.1476874866439732,0.17238157897698222
starwarps,2,5,7,0.2139364644402339,0.4394475927422175,0.2255111283019836,0.8078433526732829,0.9464587959613238,1.1715870321013848,0.9793896802056848,0.9649078369573858,58.782267179767715,55.361756400102514,0.11270605241441779,0.11074186889378974,0.1532073992182901,0.18277493192073416
starwarps,2,6,8,0.19811304905006613,0.3880528825345347,0.18993983348446855,0.7626370796761252,0.778283264685335,1.0205158986183238,0.9755322176051114,0.964763224144217,57.844246863781926,55.2936906493909,0.11049211987194348,0.10602739216573362,0.15605823659433035,0.18974576389664605
starwarps,2,7,9,0.18139153568398061,0.36782055196474944,0.18642901628076883,0.7183402944986413,0.7147110494811212,0.9949477357106172,0.9695872362730248,0.9579685111193756,56.451178106614314,53.75643555884761,0.10950871785306811,0.10358508606980417,0.15090803848731543,0.18242980578415188
starwarps,2,8,10,0.19660332527974908,0.37147917730750113,0.17487585202775205,0.7235661995779906,0.6311588559136069,0.8722890266042292,0.9740550756341003,0.9627336079913402,57.4814346569455,54.82049230499445,0.11149574349682076,0.10857355127227991,0.14847858031159472,0.1813311148963616
starwarps,2,9,11,0.1693553305003398,0.40051422724815106,0.23115889674781126,0.6582509653165105,0.572298607102073,0.8694231186229883,0.9683581128095777,0.9575681115831333,56.151459183427484,53.65690931658623,0.10769382803065768,0.10241457993651196,0.1490341262299565,0.17627202955064183
starwarps,2,10,12,0.19506852346644588,0.37570373364161536,0.18063521017516948,0.59051682912849,0.4721415813000835,0.7995395863601216,0.965268600300035,0.9566633246820672,55.44473243562446,53.450741069494256,0.10750386871261178,0.10217497940455475,0.15438203082052704,0.18473374258940403
starwarps,2,11,13,0.2229474234007342,0.35119078487872574,0.12824336147799154,0.5876907835048292,0.4374185379770511,0.7443004897378261,0.9677794101750334,0.9586155379422039,56.014195872262256,53.88401960524679,0.10806422308443173,0.10323541336294154,0.15298363923914846,0.18389510002003726
starwarps,2,12,14,0.20519493666212768,0.37463529073409274,0.16944035407196506,0.6250248162075214,0.47514703477413234,0.760205070987731,0.9687526069581229,0.95979790817034,56.22774581575577,54.15177237162512,0.10731127299364786,0.10241671972684911,0.14882485371532828,0.17582656605507788
starwarps,3,0,3,0.31533945939292884,0.6150043751498313,0.29966491575690246,0.7105978431301262,0.4769699492539663,0.6712234688933928,0.9717984386590399,0.9619884363553807,57.02316401542655,54.643388670553215,0.11399057697357431,0.10832307770475982,0.1550656875934057,0.2061517232434379
starwarps,3,1,4,0.347102592107673,0.6422884323583616,0.2951858402506886,0.7388999212901074,0.4951916211887296,0.6701741425606501,0.9804959682665442,0.9752013450060686,59.09040322755457,57.7327000798765,0.11726125053584145,0.11621945215805086,0.15068227595240447,0.20820841292874015
starwarps,3,2,5,0.3469789236287702,0.7023179333964619,0.35533900976769167,0.8839860201935494,0.6620185853470704,0.7489016457546702,0.9835297549100778,0.9813784383964324,59.80866483352082,59.236009201156854,0.1208637390549408,0.12972033796716834,0.14405025393961837,0.2036754673305033
starwarps,3,3,6,0.26091308872406194,0.737786411952224,0.4768733232281621,0.9865399206467391,0.839565253200236,0.851020050612699,0.9834701248155876,0.978036151649355,59.77240633187533,58.44746776685609,0.11459777257958509,0.12338810512205116,0.1432206251977169,0.1834439264868188
