gt_index,gt_name,orientation,best_flux_scale,scaled_rel_residual,complex_corr,conj_best_flux_scale,conj_scaled_rel_residual,conj_complex_corr,conjugate_better_scaled,obs_frame_index,obs_name,rank
7,frame_007.png,original,0.0033466819024835963,0.29810218286074,0.9546723292240146,0.003075901841208052,0.47993762653477634,0.9038923857880007,False,0,frame_00.npz,1
6,frame_006.png,original,0.002680223954343132,0.3110399589721681,0.950396836173228,0.0024790197860216105,0.47672842162976364,0.9027411689012098,False,0,frame_00.npz,2
9,frame_009.png,original,0.0036753364070472388,0.3159640960570315,0.9493945496419804,0.0033699357291542046,0.49316927207353173,0.9004752246282934,False,0,frame_00.npz,3
8,frame_008.png,original,0.002656551572227613,0.32131955082229646,0.9474012557671233,0.0024507427944003668,0.4866321899549843,0.9031456063892851,False,0,frame_00.npz,4
1,frame_001.png,flip_ud,0.003241816410578908,0.3363021199766228,0.9435122848789862,0.0030007146409297193,0.4900157024210543,0.9100360168658146,False,0,frame_00.npz,5
12,frame_012.png,original,0.0031623900255457102,0.3378308491423413,0.9437345888794061,0.0028752440664823685,0.5173978465461537,0.895029815235318,False,0,frame_00.npz,6
11,frame_011.png,original,0.003227219155155168,0.35238991818115695,0.9379263309159609,0.0029647091385595348,0.510751074186368,0.8984289023226737,False,0,frame_00.npz,7
3,frame_003.png,rot90,0.0031333353616973215,0.35979680323252666,0.9332525509251139,0.002956993184130063,0.47400844873260173,0.9122267684613775,False,0,frame_00.npz,8
6,frame_006.png,flip_ud,0.0026277352321088356,0.3614365877173778,0.9331117158017167,0.0025149779333836536,0.45127065742835193,0.9089671502014449,False,0,frame_00.npz,9
10,frame_010.png,original,0.001967243313035899,0.36188976555790237,0.9333236508738265,0.0018127458754262668,0.5119605940300084,0.8925356935032432,False,0,frame_00.npz,10
0,frame_000.png,flip_ud,0.0025592599479626822,0.36346779310624844,0.9318187950690457,0.0023888363275827128,0.49380941395712447,0.8997006870302601,False,0,frame_00.npz,11
14,frame_014.png,flip_ud,0.0025592599479626822,0.36346779310624844,0.9318187950690457,0.0023888363275827128,0.49380941395712447,0.8997006870302601,False,0,frame_00.npz,12
2,frame_002.png,flip_ud,0.0035541676227642803,0.3647277924312262,0.93386473061007,0.0033820126794764783,0.46365970703875325,0.9285442659859947,False,0,frame_00.npz,13
13,frame_013.png,original,0.002765975007876998,0.3703550028937535,0.9308916932737212,0.0025396771493583544,0.5220853233105175,0.8875963565371552,False,0,frame_00.npz,14
3,frame_003.png,flip_ud,0.0030634026781390235,0.3717994657050475,0.9307754844547189,0.002886512183125335,0.4846478513646301,0.915294990088311,False,0,frame_00.npz,15
5,frame_005.png,original,0.0021213813765824283,0.37286363915037163,0.9291524029640353,0.0020318421032866473,0.4584466552417752,0.9030064210896096,False,0,frame_00.npz,16
13,frame_013.png,flip_ud,0.0027709695011343257,0.37339919739116795,0.9276789984063978,0.002597772622517337,0.4936026219084951,0.8955117099591253,False,0,frame_00.npz,17
7,frame_007.png,flip_ud,0.0032351644944505005,0.3867385748986533,0.9229010130991073,0.003103606322132927,0.46618264246796487,0.900708342876691,False,0,frame_00.npz,18
0,frame_000.png,original,0.002513459063695905,0.39546655279133147,0.9205286275841942,0.0022992557536032792,0.5422686379548904,0.8743604404600693,False,0,frame_00.npz,19
