kind,i,j,value,stage,framework,prior_weight
frame_pair_distance,0,1,0.0014799876022821186,tv_prior_5em02,tv,0.05
frame_pair_distance,0,2,0.0030226505939647285,tv_prior_5em02,tv,0.05
frame_pair_distance,1,2,0.001559064577136483,tv_prior_5em02,tv,0.05
cross_data_loss,0,0,3.694000839407369,tv_prior_5em02,tv,0.05
cross_data_loss,0,1,3.697982918895341,tv_prior_5em02,tv,0.05
cross_data_loss,0,2,3.7023021291581566,tv_prior_5em02,tv,0.05
cross_data_loss,1,0,3.68928340528788,tv_prior_5em02,tv,0.05
cross_data_loss,1,1,3.6931982241573658,tv_prior_5em02,tv,0.05
cross_data_loss,1,2,3.697446173134293,tv_prior_5em02,tv,0.05
cross_data_loss,2,0,3.6844900481128118,tv_prior_5em02,tv,0.05
cross_data_loss,2,1,3.688335743893936,tv_prior_5em02,tv,0.05
cross_data_loss,2,2,3.6925101384828487,tv_prior_5em02,tv,0.05
mean_pairwise_frame_distance,-1,-1,0.0020205675911277765,tv_prior_5em02,tv,0.05
own_data_loss_mean,-1,-1,3.693236400682528,tv_prior_5em02,tv,0.05
cross_data_loss_mean,-1,-1,3.6933067364137364,tv_prior_5em02,tv,0.05
cross_minus_own_data_loss_mean,-1,-1,7.033573120862613e-05,tv_prior_5em02,tv,0.05
