block,updates,relative_iterate_change,relative_objective_change,mean_pairwise_frame_distance,cross_minus_own_data_loss_mean,data,prior,tv,wavelet,spatial_total
1,25,0.5968204485286271,inf,0.0013438088894683938,7.115634796317494e-05,16.503525258814594,20.081181138767604,0.006459298381577061,0.0,36.591165695963774
2,50,0.13099267617984328,0.023126925752007674,0.0017986523185634946,6.922957739874391e-05,11.849355514025135,23.88994448458109,0.0056245251275557915,0.0,35.744924523733786
3,75,0.025174553575180673,0.0006476706051582122,0.0019335120950368645,6.907578135884052e-05,11.211262443705154,24.505001965564453,0.005509177566555263,0.0,35.721773586836164
4,100,0.005856561716823983,3.1665446318400704e-05,0.001985160679688285,6.978118582878778e-05,11.104719707991944,24.61042827391131,0.005494459028997003,0.0,35.72064244093225
5,125,0.0019028464662890125,3.156128613548428e-06,0.0020056530044359057,7.014851522058052e-05,11.0851957611233,24.62984071253227,0.005493228334976903,0.0,35.72052970199055
6,150,0.000752192678478558,4.833392527228944e-07,0.0020142403562752194,7.02861039014735e-05,11.081152758161798,24.6338662283571,0.005493450337518713,0.0,35.72051243685642
7,175,0.00031892210592593715,8.630425384017598e-08,0.0020179074787143353,7.033051097282694e-05,11.080159650044331,24.6348560503694,0.0054936536105137795,0.0,35.720509354024244
8,200,0.00013944888352232827,1.644919976478285e-08,0.0020194745806942868,7.033968889613718e-05,11.079865436890502,24.635149573280618,0.0054937562793282765,0.0,35.72050876645045
9,225,6.224329247387187e-05,3.2701231248258773e-09,0.002020146911240285,7.033923604193859e-05,11.079763773439588,24.635251073624758,0.005493802575645425,0.0,35.72050864963999
10,250,2.8249215547508902e-05,6.724469158019427e-10,0.0020204387745161724,7.033713026194377e-05,11.079724927463928,24.635289875266793,0.0054938228891188495,0.0,35.72050862561984
11,275,1.2998618624575828e-05,1.4218390249542503e-10,0.0020205675911277765,7.033573120862613e-05,11.079709202047583,24.635305586806517,0.005493831686865536,0.0,35.72050862054096
