frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim,initialization_stge_spatial,post_uot_stge_spatial,delta_stge_spatial_frame,initialization_fourier_reduced_chi2,post_uot_fourier_reduced_chi2,delta_fourier_reduced_chi2
0,frame_000.png,0.4969213282665357,0.7793366425724636,0.42745896049251036,0.731659286136626,-0.06946236777402531,-0.04767735643583759,1.0446760840614542,1.0232808408801106,-0.02139524318134356,3.326339634944948e-10,1.741752515193376e-10,-1.5845871197515718e-10
1,frame_001.png,0.4312738852180197,0.8536180420298246,0.41704158342904996,0.7569559314884056,-0.014232301788969726,-0.09666211054141904,1.1149361704383116,1.0409638284125924,-0.07397234202571923,3.640573916647541e-10,2.591791955511815e-10,-1.0487819611357259e-10
2,frame_002.png,0.38051383451163145,0.8471297530063495,0.3856871654349593,0.7448325364438129,0.005173330923327835,-0.10229721656253665,0.9905297314854684,0.9558125181445634,-0.03471721334090505,3.6855386057884917e-10,2.4704643093096687e-10,-1.215074296478823e-10
3,frame_003.png,0.3617229248765972,0.8439235433498281,0.38590430843638096,0.7317117776095812,0.024181383559783776,-0.11221176574024694,0.9074326174924907,0.9031445023227844,-0.004288115169706286,3.9037102750153436e-10,2.5244712015215743e-10,-1.3792390734937693e-10
4,frame_004.png,0.43145000692861135,0.7986410399212004,0.42199207883059936,0.707183570603665,-0.009457928098011992,-0.0914574693175354,0.8937218419351284,0.9120631575621807,0.018341315627052324,3.2840133785450804e-10,1.8495921681588744e-10,-1.434421210386206e-10
5,frame_005.png,0.3298219509291418,0.8222626863681789,0.39671710148188033,0.739732628752388,0.06689515055273854,-0.08253005761579091,0.9088282924865484,0.9011130132976386,-0.007715279188909796,2.4512691164936014e-10,1.2260314642448773e-10,-1.225237652248724e-10
6,frame_006.png,0.5175855830843084,0.8434765695927346,0.6388805822753945,0.6821066565500749,0.1212949991910861,-0.1613699130426598,0.9328937914851483,0.940673044355706,0.007779252870557696,1.7765610890945488e-10,1.0608762909974273e-10,-7.156847980971215e-11
7,frame_007.png,0.49847901389771593,0.8517596575326774,0.6165686783659907,0.7241852736826083,0.11808966446827479,-0.12757438385006903,0.947915917092221,0.9548319758313616,0.006916058739140585,2.277747634237072e-10,1.2912586854202617e-10,-9.864889488168105e-11
8,frame_008.png,0.40638669918616965,0.854639923133188,0.40608049190070983,0.7596624505711088,-0.00030620728545982523,-0.09497747256207922,0.9805071768443395,0.9221335753748939,-0.05837360146944559,2.54994975869187e-10,1.2855714629404357e-10,-1.2643782957514345e-10
9,frame_009.png,0.4209055734582961,0.8847230232011623,0.5124390947289168,0.7362285716485232,0.0915335212706207,-0.14849445155263907,0.9346697711308299,0.9344498318752146,-0.00021993925561536454,2.66365394166836e-10,1.505728536422235e-10,-1.1579254052461251e-10
10,frame_010.png,0.382823795644567,0.8167927883886519,0.32423609837975315,0.737915721205865,-0.05858769726481383,-0.07887706718278686,0.9918313595603329,0.9236214230085741,-0.06820993655175878,2.554150128962626e-10,1.2306620720915937e-10,-1.3234880568710325e-10
11,frame_011.png,0.3462228579232033,0.8575666282094233,0.37462720930275045,0.7643004501840843,0.028404351379547166,-0.09326617802533899,0.9444566501851576,0.9351461512564323,-0.009310498928725264,3.1813235634180613e-10,1.7612482237353955e-10,-1.4200753396826658e-10
12,frame_012.png,0.3973913882565581,0.8334594910750008,0.31798015234092114,0.7806473565151346,-0.07941123591563698,-0.05281213455986622,0.9654798612024756,0.8791665890311261,-0.08631327217134954,3.145615879652623e-10,1.9422541810761265e-10,-1.2033616985764966e-10
13,frame_013.png,0.48722104972290897,0.7775011610431999,0.3607190137760159,0.797801159393229,-0.12650203594689308,0.020299998350029158,0.9568356272443398,0.8987144204586074,-0.058121206785732404,3.4347635425280226e-10,1.9280133470320441e-10,-1.5067501954959784e-10
14,frame_014.png,0.4553455456488069,0.800477140932527,0.5477653105158465,0.7286658359484294,0.09241976486703962,-0.0718113049840976,1.0634883427385582,1.049227334279146,-0.014261008459412139,3.2287017326403673e-10,1.5282967691870538e-10,-1.7004049634533135e-10
