frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim,initialization_stge_spatial,post_uot_stge_spatial,delta_stge_spatial_frame,initialization_fourier_reduced_chi2,post_uot_fourier_reduced_chi2,delta_fourier_reduced_chi2
0,frame_000.png,0.8202359801131379,0.47608764261897907,0.7934938433110144,0.47686979916979017,-0.02674213680212356,0.0007821565508110973,1.1382903741266477,1.119234958016703,-0.019055416109944767,1.7490263399402665e-11,2.1051059174226417e-11,3.5607957748237523e-12
1,frame_001.png,0.966181126660936,0.48043531701874304,1.0018507318867167,0.47965033797381706,0.035669605225780665,-0.0007849790449259708,1.2107962284919462,1.2155380189991496,0.004741790507203358,2.0811236889179896e-11,2.3665434613618025e-11,2.8541977244381287e-12
2,frame_002.png,1.0739364052281402,0.4832931829476828,1.1150846118357984,0.48630526949553615,0.04114820660765828,0.003012086547853343,1.3202308261163616,1.3181178149876285,-0.0021130111287330777,1.9563921561284102e-11,2.2970818094900092e-11,3.4068965336159896e-12
3,frame_003.png,1.0420756273132592,0.4889136991492754,1.07110112976043,0.48990308044408387,0.029025502447170837,0.0009893812948084668,1.2756557267731732,1.2650742219979167,-0.010581504775256434,1.940241619988561e-11,2.381174611993718e-11,4.409329920051567e-12
4,frame_004.png,1.0784598070667435,0.4720208894458712,1.0875268662020832,0.47678827304259946,0.009067059135339672,0.004767383596728292,1.2360000201212369,1.215871959391073,-0.020128060730163932,1.3593107537131526e-11,1.6947269542791844e-11,3.354162005660318e-12
5,frame_005.png,0.8759157635872846,0.452299601577956,0.8699994971041998,0.4597112081458535,-0.005916266483084853,0.007411606567897466,1.0916782337254827,1.0800448027206002,-0.011633431004882455,1.055288592854948e-11,1.3864744079265575e-11,3.3118581507160954e-12
6,frame_006.png,1.3332029676139847,0.5114189788736694,1.4044503516266296,0.5056694197944334,0.07124738401264485,-0.005749559079236022,1.1342012338362266,1.1420809957774034,0.007879761941176788,9.54906076912839e-12,1.0359411914467885e-11,8.103511453394955e-13
7,frame_007.png,1.5755654259766614,0.5366196810393702,1.6101253861992142,0.5299351262442135,0.03455996022255281,-0.0066845547951567275,1.155809483438649,1.1613515591707586,0.00554207573210963,1.2763108028361334e-11,1.373282467032202e-11,9.697166419606855e-13
8,frame_008.png,1.1540261583631632,0.550744180045696,1.1329904569762503,0.5520042193748118,-0.02103570138691291,0.0012600393291157808,1.1083279617010977,1.0989271680715134,-0.009400793629584347,1.3167566289954768e-11,1.4445977755090918e-11,1.27841146513615e-12
9,frame_009.png,1.2487169396224371,0.5510299526540267,1.2954040116040486,0.5462833679604189,0.04668707198161148,-0.0047465846936077805,1.1691468783103536,1.170148223516497,0.001001345206143478,1.5475760517822197e-11,1.7256146865081507e-11,1.7803863472593093e-12
10,frame_010.png,0.7814501603797134,0.5061288417447265,0.7814257130699036,0.5176293118577454,-2.4447309809771944e-05,0.011500470113018912,1.0834770045421998,1.0798574901644908,-0.00361951437770891,1.238272559961633e-11,1.2695910956021513e-11,3.1318535640518295e-13
11,frame_011.png,0.957532769262417,0.5262495924717866,0.9638389665852607,0.5252967803212061,0.006306197322843654,-0.0009528121505805176,1.1774118009391479,1.1754235433508495,-0.0019882575882983478,1.530718203512884e-11,1.636905438180362e-11,1.06187234667478e-12
12,frame_012.png,0.9030772337470705,0.5026319209528342,0.9025367730216615,0.5073561954641654,-0.000540460725409031,0.004724274511331283,1.1999895117571076,1.1782507460487779,-0.021738765708329666,1.7631656248606404e-11,2.0117369852821703e-11,2.4857136042152995e-12
13,frame_013.png,0.8771835019460035,0.48631135313565776,0.8839322541962049,0.4916839518838571,0.00674875225020144,0.005372598748199342,1.2047102893602974,1.1971089408334972,-0.007601348526800278,1.9047204521733347e-11,1.9877075471972347e-11,8.298709502390004e-13
14,frame_014.png,0.82088050349989,0.4766630567866919,0.8396497616307229,0.48340010049834287,0.018769258130832966,0.0067370437116509585,1.1490512783420106,1.1557506563675417,0.006699378025531111,1.8382817470719632e-11,1.9354129632810557e-11,9.713121620909255e-13
