sweep_index,warm_start_l1_weight,warm_start_tv_weight,warm_start_hessian_weight,warm_start_initialization,warm_start_initial_image,warm_start_initial_scale_mode,output_dir,warm_start_mean_frame_nrmse,warm_start_mean_ssim,warm_start_stge,warm_start_stge_temporal,warm_start_fourier_reduced_chi2,warm_start_fourier_chi2,warm_start_final_objective,warm_start_final_data,warm_start_final_l1,warm_start_final_tv,warm_start_final_hessian,warm_start_final_relative_change,warm_start_final_step_size
0,0.0,0.0,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_0_hessian_0,1.006756123972756,0.46699113311071044,1.1487959178701923,1.0616028039071679,1.8049035963447636e-11,8.59639484867084e-07,8.59639484867084e-08,8.59639484867084e-08,0.0,0.0,0.0,0.0013812861014251363,10.0
1,0.0,0.0,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_0_hessian_1e-07,1.749449621073038,0.481832107497649,1.1590758422395018,0.976359500238853,2.995592830355097e-10,1.4267409532415256e-05,1.4393229824191607e-06,1.4267409532415256e-06,0.0,0.0,1.2582029177634963e-08,0.0003040091650625973,0.06181587566048356
2,0.0,0.0,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_0_hessian_1e-05,1.7413751186124764,0.48115556011602445,1.0712126058766889,0.9754588898531644,3.008929024813734e-10,1.4330927159382852e-05,1.8689365884224202e-06,1.4330927159382851e-06,0.0,0.0,4.3584387248413495e-07,0.0003170422563917414,0.06181587566048356
3,0.0,1e-07,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_1e-07_hessian_0,1.4528953434916327,0.40677146685874155,1.1316689812902385,1.0437122251830844,1.253259752211847e-10,5.9690255478345845e-06,6.243814970628973e-07,5.969025547834585e-07,0.0,2.747894227943875e-08,0.0,0.0007614047772729365,0.49124118461278854
4,0.0,1e-07,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_1e-07_hessian_1e-07,1.7659138552666214,0.48678486078328803,1.163290117933484,0.9774326036375572,3.081647576761437e-10,1.4677271078599372e-05,1.5027646243343824e-06,1.4677271078599372e-06,0.0,2.255396353526924e-08,1.2483552939176034e-08,0.0002780580645058625,0.05495327951202498
5,0.0,1e-07,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_1e-07_hessian_1e-05,1.756258700514966,0.4869280996341658,1.0764090915570492,0.9764256450667137,3.0916292361925523e-10,1.4724811726137888e-05,1.933415639535055e-06,1.4724811726137888e-06,0.0,2.181358668985288e-08,4.3912088023141347e-07,0.00029104137029056337,0.05495327951202498
6,0.0,1e-05,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_1e-05_hessian_0,1.8816288090729958,0.2735493534542531,1.1285605828084873,1.0647881397060222,1.7008250764369608e-10,8.100689674053958e-06,2.340847467274537e-06,8.100689674053958e-07,0.0,1.530778499869141e-06,0.0,0.0013524846420701858,0.49124118461278854
7,0.0,1e-05,1e-07,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_1e-05_hessian_1e-07,1.8773425655717069,0.46176151510652125,1.1473545176240048,0.9772333460291919,3.158587848353791e-10,1.5043722204139436e-05,3.5408062649430135e-06,1.5043722204139437e-06,0.0,2.030282668313903e-06,6.1513762151671506e-09,0.0002998118617552726,0.05495327951202498
8,0.0,1e-05,1e-05,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_0_tv_1e-05_hessian_1e-05,1.8689401904348586,0.4605843151265292,1.0954326973166517,0.9774155965126604,3.161436491370998e-10,1.5057289721101788e-05,3.958734657052674e-06,1.5057289721101788e-06,0.0,2.0205604673911607e-06,4.3244521755133364e-07,0.0003196370227371755,0.05495327951202498
9,1e-07,0.0,0.0,image,/home/ethanks/projects/optimal-transport-in-space/results/radial_outputs/time_avg_static_recon_128pix_radial_round.png,per_frame,optimal_transport/ot_uot_warmstart_l1_tv_hessian_sweep_5frame/l1_1e-07_tv_0_hessian_0,0.9961900494793939,0.480140775779069,1.146145406852922,1.0585518344520204,1.8110600962944225e-11,8.625717026631075e-07,3.3371580811834865e-07,8.625717026631076e-08,2.474586378520379e-07,0.0,0.0,0.001431914728306933,10.0
