sweep_index,warm_start_l1_weight,warm_start_tv_weight,output_dir,warm_start_mean_frame_nrmse,warm_start_mean_ssim,warm_start_stge,warm_start_stge_temporal,warm_start_fourier_reduced_chi2,warm_start_fourier_chi2,warm_start_final_objective,warm_start_final_data,warm_start_final_l1,warm_start_final_tv
0,0.0,0.0,ot_uot_warmstart_l1tv_sweep_5frame/l1_0_tv_0,1.8512118326888825,0.15034826208751634,1.3710518056114558,1.3682171243432066,1.042292400469492e-10,4.964230244956096e-06,4.964230244956096e-07,4.964230244956096e-07,0.0,0.0
1,0.0,1e-08,ot_uot_warmstart_l1tv_sweep_5frame/l1_0_tv_1e-08,2.8123955113178782,0.045273364952381746,1.7690463598353217,2.042375141081056,7.818438555278874e-10,3.723765915108222e-05,3.7241767873013375e-06,3.7237659151082224e-06,0.0,4.1087219311450725e-10
2,0.0,1e-07,ot_uot_warmstart_l1tv_sweep_5frame/l1_0_tv_1e-07,2.849371247179037,0.044991836928805776,1.776977443519354,2.05325087151264,7.824169461732238e-10,3.72649543123383e-05,3.7304926207822896e-06,3.72649543123383e-06,0.0,3.997189548459513e-09
3,0.0,1e-06,ot_uot_warmstart_l1tv_sweep_5frame/l1_0_tv_1e-06,2.933667341887622,0.046076618049714434,1.7916605287899003,2.0764796189506822,7.873800932411684e-10,3.7501339080890365e-05,3.7842494589540507e-06,3.7501339080890364e-06,0.0,3.411555086501394e-08
4,1e-09,0.0,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-09_tv_0,1.8508265594007731,0.15045003449782918,1.37106333578936,1.3682283471242636,1.0422557641470176e-10,4.964055753479415e-06,4.990478631796553e-07,4.964055753479415e-07,2.6422878317136924e-09,0.0
5,1e-09,1e-08,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-09_tv_1e-08,2.8118954956182494,0.04529570856608009,1.7692084903110834,2.042588113919006,7.819375449630209e-10,3.724212139149876e-05,3.7251905564764225e-06,3.724212139149876e-06,5.675530550159854e-10,4.1086427153125805e-10
6,1e-09,1e-07,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-09_tv_1e-07,2.8489705651023844,0.04500987549204265,1.777145171062794,2.053487353873608,7.825106349684148e-10,3.726941652227566e-05,3.731506278120538e-06,3.726941652227566e-06,5.674974482935683e-10,3.997128444678061e-09
7,1e-09,1e-06,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-09_tv_1e-06,2.9334367443780005,0.04608250552169534,1.7917291152978914,2.0765674294319156,7.874737384799913e-10,3.7505799216325025e-05,3.7852625337005178e-06,3.7505799216325024e-06,5.6730527514698e-10,3.4115306792867576e-08
8,1e-08,0.0,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-08_tv_0,1.8473603982478959,0.15136788522136085,1.371165003973511,1.3683280699746874,1.04201547708945e-10,4.962911314281632e-06,5.226279771838756e-07,4.962911314281632e-07,2.6336845755712356e-08,0.0
9,1e-08,1e-08,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-08_tv_1e-08,2.8073932869466716,0.04550014511432678,1.7706686806363043,2.0445061456193625,7.827811805648975e-10,3.728230206794494e-05,3.734297266965843e-06,3.728230206794494e-06,5.656269436274001e-09,4.107907350753704e-10
10,1e-08,1e-07,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-08_tv_1e-07,2.8453610002242766,0.045175205323478844,1.7786677925001768,2.0556370972709086,7.833542657807031e-10,3.7309596970603326e-05,3.7406119574386147e-06,3.7309596970603326e-06,5.6556917439209575e-09,3.996568634360904e-09
11,1e-08,1e-06,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-08_tv_1e-06,2.9313259805637917,0.04613718228588073,1.7923645072471406,2.077384041579533,7.883169834177615e-10,3.754596128622114e-05,3.794362947831793e-06,3.7545961286221143e-06,5.653712264498386e-09,3.4113106945180094e-08
12,1e-07,0.0,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-07_tv_0,1.8128255522456456,0.16083109584311156,1.3721598474633854,1.369250893092885,1.0483676989350425e-10,4.99316567648782e-06,7.541204351955465e-07,4.99316567648782e-07,2.5480386754676435e-07,0.0
13,1e-07,1e-08,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-07_tv_1e-08,2.7621715327464598,0.04785876852010103,1.7853668150223108,2.063804947277836,7.912598369753191e-10,3.76861235154605e-05,3.82366275848494e-06,3.7686123515460498e-06,5.464053600479688e-08,4.0987093409364024e-10
14,1e-07,1e-07,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-07_tv_1e-07,2.804896930445738,0.0472870542529837,1.794333859214173,2.0771965729226483,7.918330696542108e-10,3.771342544149075e-05,3.829963966098787e-06,3.771342544149075e-06,5.46318243636741e-08,3.989597586036982e-09
15,1e-07,1e-06,ot_uot_warmstart_l1tv_sweep_5frame/l1_1e-07_tv_1e-06,2.908949929410998,0.046732382789466745,1.799346479410311,2.08647568688021,7.96792339180021e-10,3.794962553046604e-05,3.883653523675099e-06,3.794962553046604e-06,5.460484470616534e-08,3.408612592232838e-08
