frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim,initialization_stge_spatial,post_uot_stge_spatial,delta_stge_spatial_frame
0,frame_000.png,0.2663941000381025,0.8046893222672802,0.2663758291219564,0.8071658053242491,-1.8270916146090332e-05,0.0024764830569689034,0.8514022840885447,0.8511547304919372,-0.0002475535966074416
1,frame_001.png,0.32653372066593644,0.8669351931586501,0.3268339484634105,0.8673606945184072,0.000300227797474073,0.0004255013597571633,0.8279538643613154,0.8278727981088077,-8.106625250769994e-05
2,frame_002.png,0.4387063731855884,0.8285867301937149,0.43918305580144334,0.8293821112219015,0.00047668261585492866,0.0007953810281866591,0.8302430996175648,0.8302011311901073,-4.1968427457517166e-05
3,frame_003.png,0.4958415915990421,0.7869632284476948,0.49566661078958085,0.7883074585574428,-0.00017498080946126704,0.0013442301097479348,0.8458712757547189,0.8455411004921394,-0.0003301752625795018
4,frame_004.png,0.48873255350082945,0.7900842363056763,0.4897338914398385,0.7910459832316238,0.0010013379390090282,0.0009617469259475264,0.9237256453744759,0.9237876330863594,6.198771188348218e-05
5,frame_005.png,0.4762779387232359,0.6113346616035283,0.4767985520846641,0.6160961407904111,0.0005206133614281683,0.004761479186882744,0.9808464046476886,0.9808701129231243,2.3708275435740944e-05
6,frame_006.png,1.1738970675203961,0.6780021376275678,1.173885074639943,0.6783720531455837,-1.199288045317104e-05,0.0003699155180159064,1.1504452029181522,1.150162063581298,-0.00028313933685431003
7,frame_007.png,1.3567736532249883,0.6509765219873513,1.357087664308557,0.6523567113490992,0.0003140110835686549,0.0013801893617478855,1.1478548432522186,1.1478262246667892,-2.861858542946294e-05
8,frame_008.png,0.8876926221903106,0.7527552526291437,0.8874631511442808,0.7536639449379974,-0.00022947104602988322,0.0009086923088537091,1.0764204617540218,1.0761611806566636,-0.0002592810973582882
9,frame_009.png,0.9862011136569642,0.7599821956087763,0.9866937412786061,0.7604766364838816,0.0004926276216419279,0.0004944408751053064,1.0859782562661502,1.0860185861007137,4.0329834563479494e-05
10,frame_010.png,0.4389207606349962,0.7713190191140786,0.4380841773034599,0.7735140987859414,-0.0008365833315363003,0.002195079671862721,0.9784654297589853,0.9782009078397451,-0.0002645219192402015
11,frame_011.png,0.6534139456007193,0.7618109987903823,0.6529375352603061,0.7633053140690944,-0.0004764103404132358,0.0014943152787121328,0.9965868136050924,0.9961860906313761,-0.0004007229737162943
12,frame_012.png,0.5023275205294551,0.748725320204285,0.5022166744654906,0.7508612803040007,-0.00011084606396449814,0.002135960099715728,0.9136609340453374,0.9134477928425796,-0.00021314120275783832
13,frame_013.png,0.37654524569668674,0.8150359432225095,0.3761882480380728,0.8168787625854421,-0.0003569976586139112,0.001842819362932624,0.8953401709373127,0.894942500835477,-0.00039767010183566764
14,frame_014.png,0.3181024913157671,0.8036098805215103,0.3182273172106148,0.8058291401599076,0.00012482589484769102,0.0022192596383973084,0.903031710083284,0.9028951064270729,-0.00013660365621104287
