frame,gt_name,initialization_nrmse,initialization_ssim,post_uot_nrmse,post_uot_ssim,delta_nrmse,delta_ssim,initialization_stge_spatial,post_uot_stge_spatial,delta_stge_spatial_frame
0,frame_000.png,0.31067432799473904,0.8375644571402185,0.31051482831441013,0.8391077968291679,-0.0001594996803289117,0.0015433396889493745,0.945906738090274,0.945409069727067,-0.0004976683632070822
1,frame_001.png,0.3919785571983584,0.8183671835995405,0.39252483612800687,0.8189267052347632,0.0005462789296484805,0.0005595216352226595,0.9635764661408606,0.9639010370838657,0.00032457094300508693
2,frame_002.png,0.4097507004671678,0.7276540128581148,0.41149645427085413,0.727140627656248,0.0017457538036863007,-0.0005133852018668339,0.9116110186961132,0.9120982532107881,0.00048723451467491685
3,frame_003.png,0.4460760400157726,0.6167082523669323,0.44698605618315845,0.6191793478572784,0.0009100161673858409,0.002471095490346076,0.8999102519419463,0.9000868804953774,0.00017662855343114625
4,frame_004.png,0.49931504573739655,0.7725158274736946,0.5020890421758663,0.772790955001868,0.0027739964384697058,0.00027512752817338004,0.9323876224418096,0.9329995986249774,0.0006119761831677728
5,frame_005.png,0.4238660204687799,0.449043899415621,0.4206658518192236,0.4610274075703027,-0.003200168649556301,0.011983508154681688,0.9358832263642713,0.9362128083561915,0.00032958199192012483
6,frame_006.png,0.8857317267365943,0.7240344160142994,0.8851078267558681,0.7255081335943155,-0.0006238999807262058,0.0014737175800161317,1.0497454571547435,1.0493130580077221,-0.0004323991470214228
7,frame_007.png,0.9393223447047396,0.7686408277033917,0.9399228970357185,0.7696065389200147,0.0006005523309788874,0.000965711216623033,1.0399718922311965,1.039934575238436,-3.7316992760549894e-05
8,frame_008.png,0.5625752397911599,0.8173226795976909,0.5619427486891349,0.8187376509190216,-0.0006324911020250124,0.001414971321330727,0.9843285610758633,0.9840894744258951,-0.00023908664996818985
9,frame_009.png,0.6187698429841937,0.8090969897750184,0.6196809133976802,0.8102405664167165,0.0009110704134864811,0.001143576641698063,0.9995856757855524,0.9997147350636414,0.00012905927808903872
10,frame_010.png,0.30453967304743573,0.8269928396263353,0.3041330745813759,0.8290699486069196,-0.0004065984660598376,0.00207710898058433,0.9258623064146262,0.9255098798186112,-0.0003524265960149764
11,frame_011.png,0.42580334105124706,0.8369699364354182,0.42490290494183564,0.8393984105147329,-0.0009004361094114288,0.0024284740793146797,0.9728659978446572,0.9722315307104195,-0.0006344671342377595
12,frame_012.png,0.256227446949897,0.8833962774308316,0.2562916021261639,0.8853469955800777,6.415517626690015e-05,0.001950718149246078,0.8147293017903415,0.8145809692730791,-0.00014833251726242835
13,frame_013.png,0.24925633490787336,0.772017150146183,0.2489476761351341,0.774563044361546,-0.0003086587727392509,0.002545894215362998,0.8333596693333628,0.8330303449416315,-0.00032932439173127825
14,frame_014.png,0.3996569024036482,0.7430056201018427,0.3995978338607441,0.7436053973323539,-5.9068542904106014e-05,0.0005997772305111893,0.9963467872462272,0.9961535546467112,-0.00019323259951598004
