frame_index,ground_truth_file,reconstruction_file,height_pixels,width_pixels,alignment_shift_dy_pixels,alignment_shift_dx_pixels,alignment_ncc,ground_truth_uv_file,reconstruction_uv_file,ground_truth_uv_samples,reconstruction_uv_samples,matched_uv_samples,uv_match_mode,nrmse,ssim,frc_source,frc_auc,frc_cutoff_frequency,fourier_chi2_source,fourier_chi2_sigma_source,fourier_chi2,radial_profile_error,azimuthal_profile_error,azimuthal_annulus_inner_pixels,azimuthal_annulus_outer_pixels,azimuthal_annulus_peak_radius_pixels,azimuthal_roll_bins
0,frame_000.png,frame_12_32_00.png,32,32,0,0,,,,0,0,0,none,0.25305925530992895,0.8958225803099632,image,0.6680097523712738,0.96875,image,none,0.07531583017764344,0.1496788283719289,0.22346480347292078,1.75390625,5.75390625,3.75390625,0
1,frame_001.png,frame_12_32_01.png,32,32,0,0,,,,0,0,0,none,0.2724833194190996,0.9121265034151924,image,0.7136609229941996,0.96875,image,none,0.08556415265984156,0.13716246862433132,0.17097950770022582,3.20703125,7.20703125,5.20703125,0
2,frame_002.png,frame_12_32_02.png,32,32,0,0,,,,0,0,0,none,0.34784925325510446,0.8362728018252142,image,0.6544295369683305,0.96875,image,none,0.13249414558868447,0.18622519110685132,0.2882681969131632,2.96484375,6.96484375,4.96484375,0
3,frame_003.png,frame_12_32_03.png,32,32,0,0,,,,0,0,0,none,0.40384958474909366,0.8133655440864777,image,0.6237118563994356,0.90625,image,none,0.17336409190607555,0.2965927114315855,0.3816682259578707,2.48046875,6.48046875,4.48046875,0
4,frame_004.png,frame_12_32_04.png,32,32,0,0,,,,0,0,0,none,0.41600786941867524,0.8336615162965559,image,0.5020705724661747,0.96875,image,none,0.2013539020138777,0.2107583260062293,0.3450244145624918,2.48046875,6.48046875,4.48046875,0
5,frame_005.png,frame_12_32_05.png,32,32,0,0,,,,0,0,0,none,0.42089636108186673,0.7606774713297545,image,0.2879405943115547,0.96875,image,none,0.21856481749251128,0.1373652388634351,0.3778920833634489,2.48046875,6.48046875,4.48046875,0
6,frame_006.png,frame_12_32_06.png,32,32,0,0,,,,0,0,0,none,0.6710677032534741,0.7451330367708476,image,0.18230639655752345,0.34375,image,none,0.517538526966022,0.42329121825329924,0.6583357476922888,2.48046875,6.48046875,4.48046875,0
7,frame_007.png,frame_12_32_07.png,32,32,0,0,,,,0,0,0,none,0.5969070304676489,0.772765163638705,image,0.2319619448013223,0.96875,image,none,0.40550488410064295,0.3652292936124908,0.5908883107614584,1.75390625,5.75390625,3.75390625,0
8,frame_008.png,frame_12_32_08.png,32,32,0,0,,,,0,0,0,none,0.4257898462646931,0.8304770654341088,image,0.1831450885993476,0.96875,image,none,0.21842190225949298,0.18275933474388872,0.3995294324759023,2.48046875,6.48046875,4.48046875,0
9,frame_009.png,frame_12_32_09.png,32,32,0,0,,,,0,0,0,none,0.607322731780746,0.7790953962144515,image,0.20883468172414735,0.96875,image,none,0.40706653740816723,0.43837812657308517,0.5942765734341696,2.48046875,6.48046875,4.48046875,0
10,frame_010.png,frame_12_32_10.png,32,32,0,0,,,,0,0,0,none,0.3142874340433859,0.8501134564847476,image,0.36405524995829464,0.96875,image,none,0.12231327314648341,0.11662566071574625,0.21334927879667714,2.96484375,6.96484375,4.96484375,0
11,frame_011.png,frame_12_32_11.png,32,32,0,0,,,,0,0,0,none,0.5626954834533371,0.7869602991662836,image,0.3637809760253997,0.96875,image,none,0.3334501841274265,0.46157114494154877,0.508737303186914,2.48046875,6.48046875,4.48046875,0
12,frame_012.png,frame_12_32_12.png,32,32,0,0,,,,0,0,0,none,0.4894667747108966,0.7769669409021841,image,0.46283678527908656,0.96875,image,none,0.24233847282233867,0.39652360494225064,0.42489743275375585,2.48046875,6.48046875,4.48046875,0
13,frame_013.png,frame_12_32_13.png,32,32,0,0,,,,0,0,0,none,0.3330278938769789,0.8566040694461509,image,0.47415184072016137,0.71875,image,none,0.12232038061010322,0.22752630847946761,0.31294052289197444,2.48046875,6.48046875,4.48046875,0
14,frame_014.png,frame_12_32_14.png,32,32,0,0,,,,0,0,0,none,0.28513548555827073,0.8675058351800008,image,0.45997926045781923,0.96875,image,none,0.09606740484820514,0.1608293922140571,0.21661279034781897,1.75390625,5.75390625,3.75390625,0
