frame_index,frc_bin,frc_source,normalized_spatial_frequency,uv_radius_midpoint,frc,sample_count
0,0,image,0.03125,,1.0,1
0,1,image,0.09375,,0.9999398765137835,8
0,2,image,0.15625,,0.9973210617537148,16
0,3,image,0.21875,,0.9866760044185293,20
0,4,image,0.28125,,0.9541883026446715,24
0,5,image,0.34375,,0.8578944078847719,40
0,6,image,0.40625,,0.7588152293415807,36
0,7,image,0.46875,,0.6798215949136017,48
0,8,image,0.53125,,0.6262538601934995,56
0,9,image,0.59375,,0.4262700385184971,56
0,10,image,0.65625,,0.5272386241057195,68
0,11,image,0.71875,,0.6885944644057482,64
0,12,image,0.78125,,0.5466765961257648,80
0,13,image,0.84375,,0.22300184402091244,92
0,14,image,0.90625,,0.16207655272225768,88
0,15,image,0.96875,,0.17075565601210846,98
1,0,image,0.03125,,1.0,1
1,1,image,0.09375,,0.9998952640691647,8
1,2,image,0.15625,,0.9994224412797877,16
1,3,image,0.21875,,0.9862263586556438,20
1,4,image,0.28125,,0.9720751322719732,24
1,5,image,0.34375,,0.9224073307104782,40
1,6,image,0.40625,,0.8430079517366564,36
1,7,image,0.46875,,0.7645162598147867,48
1,8,image,0.53125,,0.5772466566247608,56
1,9,image,0.59375,,0.42908873293417676,56
1,10,image,0.65625,,0.46410418919895374,68
1,11,image,0.71875,,0.512758066595841,64
1,12,image,0.78125,,0.5719022384000328,80
1,13,image,0.84375,,0.4320343362166451,92
1,14,image,0.90625,,0.48246758580071153,88
1,15,image,0.96875,,0.49552260120675956,98
2,0,image,0.03125,,1.0,1
2,1,image,0.09375,,0.9998815876169059,8
2,2,image,0.15625,,0.9958869271289725,16
2,3,image,0.21875,,0.9728989073731941,20
2,4,image,0.28125,,0.9071738023508761,24
2,5,image,0.34375,,0.8220525585886788,40
2,6,image,0.40625,,0.7905327769453656,36
2,7,image,0.46875,,0.6855976843131604,48
2,8,image,0.53125,,0.49472373897701644,56
2,9,image,0.59375,,0.515617155273602,56
2,10,image,0.65625,,0.4584598758292281,68
2,11,image,0.71875,,0.33420898239505736,64
2,12,image,0.78125,,0.3686517992926204,80
2,13,image,0.84375,,0.29663526959589975,92
2,14,image,0.90625,,0.45361777584908786,88
2,15,image,0.96875,,0.4410084259905829,98
3,0,image,0.03125,,1.0,1
3,1,image,0.09375,,0.999826580795928,8
3,2,image,0.15625,,0.99838737733648,16
3,3,image,0.21875,,0.9823827939737728,20
3,4,image,0.28125,,0.9278182699613768,24
3,5,image,0.34375,,0.8467039532743598,40
3,6,image,0.40625,,0.7967847410575076,36
3,7,image,0.46875,,0.6855714903876238,48
3,8,image,0.53125,,0.5886825659409909,56
3,9,image,0.59375,,0.5508697887439096,56
3,10,image,0.65625,,0.46004914270185365,68
3,11,image,0.71875,,0.357405561821653,64
3,12,image,0.78125,,0.2699961651766751,80
3,13,image,0.84375,,0.19800947996302432,92
3,14,image,0.90625,,0.1746873106266583,88
3,15,image,0.96875,,0.037005248459445,98
4,0,image,0.03125,,1.0,1
4,1,image,0.09375,,0.9998819559823307,8
4,2,image,0.15625,,0.9951988684549835,16
4,3,image,0.21875,,0.9855957770494704,20
4,4,image,0.28125,,0.9399964244081612,24
4,5,image,0.34375,,0.6816402155218098,40
4,6,image,0.40625,,0.565208912394863,36
4,7,image,0.46875,,0.5967414357470643,48
4,8,image,0.53125,,0.34250522500064784,56
4,9,image,0.59375,,0.12153399529448065,56
4,10,image,0.65625,,0.016448335833419286,68
4,11,image,0.71875,,0.15484458195876724,64
4,12,image,0.78125,,-0.0650216350040707,80
4,13,image,0.84375,,0.04439076522631977,92
4,14,image,0.90625,,0.4210662096716807,88
4,15,image,0.96875,,0.4620550389053864,98
5,0,image,0.03125,,1.0,1
5,1,image,0.09375,,0.999505194051252,8
5,2,image,0.15625,,0.9777267496979241,16
5,3,image,0.21875,,0.9770192680166164,20
5,4,image,0.28125,,0.8919111517926263,24
5,5,image,0.34375,,0.44144555817254105,40
5,6,image,0.40625,,0.19749284014885196,36
5,7,image,0.46875,,0.4978889042160933,48
5,8,image,0.53125,,0.11558968603127458,56
5,9,image,0.59375,,-0.3528387618123259,56
5,10,image,0.65625,,-0.27870935996118507,68
5,11,image,0.71875,,-0.27988063843447153,64
5,12,image,0.78125,,-0.43418722125129644,80
5,13,image,0.84375,,-0.23284971167222362,92
5,14,image,0.90625,,0.19380194960454747,88
5,15,image,0.96875,,0.2103866121461921,98
6,0,image,0.03125,,1.0,1
6,1,image,0.09375,,0.9999554533172827,8
6,2,image,0.15625,,0.9898862419882835,16
6,3,image,0.21875,,0.9359804963763309,20
6,4,image,0.28125,,0.7349448536002054,24
6,5,image,0.34375,,0.26900464752128345,40
6,6,image,0.40625,,-0.21969700570080794,36
6,7,image,0.46875,,-0.04613802298334886,48
6,8,image,0.53125,,-0.33767260081908684,56
6,9,image,0.59375,,-0.43012080982340045,56
6,10,image,0.65625,,-0.3960623712731666,68
6,11,image,0.71875,,-0.23942317907428348,64
6,12,image,0.78125,,0.03725585263950265,80
6,13,image,0.84375,,0.019926708104352642,92
6,14,image,0.90625,,-0.14632678877090047,88
6,15,image,0.96875,,0.12616494652121063,98
7,0,image,0.03125,,1.0,1
7,1,image,0.09375,,0.9997800880984619,8
7,2,image,0.15625,,0.9890675971114637,16
7,3,image,0.21875,,0.937741776971786,20
7,4,image,0.28125,,0.7781204889756309,24
7,5,image,0.34375,,0.3952074724907697,40
7,6,image,0.40625,,-0.17006497998673187,36
7,7,image,0.46875,,-0.13535227029220964,48
7,8,image,0.53125,,-0.4713179126697007,56
7,9,image,0.59375,,-0.6671648338756693,56
7,10,image,0.65625,,-0.2822664840727651,68
7,11,image,0.71875,,0.3186949993192552,64
7,12,image,0.78125,,0.22286736825268574,80
7,13,image,0.84375,,-0.008990991473325749,92
7,14,image,0.90625,,-0.033738401613347985,88
7,15,image,0.96875,,0.21369050956706426,98
8,0,image,0.03125,,1.0,1
8,1,image,0.09375,,0.9997941426888711,8
8,2,image,0.15625,,0.9964621698449274,16
8,3,image,0.21875,,0.9754184722494982,20
8,4,image,0.28125,,0.8609907299321006,24
8,5,image,0.34375,,0.4756220817353131,40
8,6,image,0.40625,,0.06747050836929436,36
8,7,image,0.46875,,0.04221200473300069,48
8,8,image,0.53125,,-0.5695271078089497,56
8,9,image,0.59375,,-0.7820180782411245,56
8,10,image,0.65625,,-0.3284833539468367,68
8,11,image,0.71875,,0.01662913493192124,64
8,12,image,0.78125,,-0.19749301559006108,80
8,13,image,0.84375,,-0.2723524347012382,92
8,14,image,0.90625,,-0.16199981242420008,88
8,15,image,0.96875,,0.24890177443539532,98
9,0,image,0.03125,,1.0,1
9,1,image,0.09375,,0.9999141462436396,8
9,2,image,0.15625,,0.9944494109721669,16
9,3,image,0.21875,,0.9605279297779116,20
9,4,image,0.28125,,0.8108418764261767,24
9,5,image,0.34375,,0.4554278877791883,40
9,6,image,0.40625,,0.2145769683374409,36
9,7,image,0.46875,,0.03436099473320893,48
9,8,image,0.53125,,-0.5602685161211486,56
9,9,image,0.59375,,-0.6705418019672433,56
9,10,image,0.65625,,-0.24681319657934528,68
9,11,image,0.71875,,-0.035640111442761156,64
9,12,image,0.78125,,-0.08501809016166564,80
9,13,image,0.84375,,-0.3179121519409906,92
9,14,image,0.90625,,-0.08233899135232664,88
9,15,image,0.96875,,0.3219077423159199,98
10,0,image,0.03125,,1.0,1
10,1,image,0.09375,,0.9996536243411602,8
10,2,image,0.15625,,0.9953216921517392,16
10,3,image,0.21875,,0.98007184015815,20
10,4,image,0.28125,,0.9059009224523303,24
10,5,image,0.34375,,0.43193893159955526,40
10,6,image,0.40625,,0.262687814073278,36
10,7,image,0.46875,,0.36199552757421927,48
10,8,image,0.53125,,-0.16750032851523167,56
10,9,image,0.59375,,-0.6190789477637167,56
10,10,image,0.65625,,0.1170062760308662,68
10,11,image,0.71875,,0.33521084711834076,64
10,12,image,0.78125,,-0.11292296880926674,80
10,13,image,0.84375,,-0.16647852873337718,92
10,14,image,0.90625,,0.42844971934726206,88
10,15,image,0.96875,,0.41714465669822154,98
11,0,image,0.03125,,0.9999999999999999,1
11,1,image,0.09375,,0.9995115838364471,8
11,2,image,0.15625,,0.9959821781987147,16
11,3,image,0.21875,,0.9768112122318778,20
11,4,image,0.28125,,0.9020964487066822,24
11,5,image,0.34375,,0.5102460289202394,40
11,6,image,0.40625,,0.39948821777289095,36
11,7,image,0.46875,,0.484216536457564,48
11,8,image,0.53125,,0.11014422000820037,56
11,9,image,0.59375,,-0.32093673817873986,56
