frame_index,ground_truth_file,reconstruction_file,height_pixels,width_pixels,alignment_shift_dy_pixels,alignment_shift_dx_pixels,alignment_ncc,ground_truth_uv_file,reconstruction_uv_file,ground_truth_uv_samples,reconstruction_uv_samples,matched_uv_samples,uv_match_mode,nrmse,ssim,frc_source,frc_auc,frc_cutoff_frequency,fourier_chi2_source,fourier_chi2_sigma_source,fourier_chi2,radial_profile_error,azimuthal_profile_error,azimuthal_annulus_inner_pixels,azimuthal_annulus_outer_pixels,azimuthal_annulus_peak_radius_pixels,azimuthal_roll_bins
0,frame_000.png,frame_21__32_00.png,32,32,0,0,,,,0,0,0,none,0.2973409097754837,0.9022822558693432,image,0.3703260605817221,0.53125,image,none,0.10202018750927315,0.2007619997475138,0.22755241338809454,1.75390625,5.75390625,3.75390625,0
1,frame_001.png,frame_21__32_01.png,32,32,0,0,,,,0,0,0,none,0.34379784134037955,0.8942962665679095,image,0.4155682288502551,0.96875,image,none,0.13573159992961978,0.21035957107049302,0.20977159013612895,3.20703125,7.20703125,5.20703125,0
2,frame_002.png,frame_21__32_02.png,32,32,0,0,,,,0,0,0,none,0.3362001024981922,0.8269965461659974,image,0.44377843333657435,0.84375,image,none,0.12446025855217116,0.21506720821385797,0.25157915291810945,2.96484375,6.96484375,4.96484375,0
3,frame_003.png,frame_21__32_03.png,32,32,0,0,,,,0,0,0,none,0.3724414191899422,0.7555892494985457,image,0.4968910355662034,0.96875,image,none,0.14473909361062043,0.2840658757362215,0.30228329726125847,2.48046875,6.48046875,4.48046875,0
4,frame_004.png,frame_21__32_04.png,32,32,0,0,,,,0,0,0,none,0.41063582371952484,0.8250655694620317,image,0.5112225272359651,0.96875,image,none,0.1907246268920081,0.3038595342170833,0.37358592996648077,2.48046875,6.48046875,4.48046875,0
5,frame_005.png,frame_21__32_05.png,32,32,0,0,,,,0,0,0,none,0.3672635937130367,0.7042775950535948,image,0.4373313361016437,0.96875,image,none,0.14809932117828956,0.1545549150260077,0.3245646086702445,2.48046875,6.48046875,4.48046875,0
6,frame_006.png,frame_21__32_06.png,32,32,0,0,,,,0,0,0,none,0.4658979400329829,0.826255624251731,image,0.43433086827573614,0.96875,image,none,0.25750345955067516,0.2833900397726471,0.45189394024379154,2.48046875,6.48046875,4.48046875,0
7,frame_007.png,frame_21__32_07.png,32,32,0,0,,,,0,0,0,none,0.37567521737390264,0.8684751566791864,image,0.4574286418613405,0.78125,image,none,0.1711789963109888,0.20034741512827708,0.3590886076025824,1.75390625,5.75390625,3.75390625,0
8,frame_008.png,frame_21__32_08.png,32,32,0,0,,,,0,0,0,none,0.32529999305297,0.8683680775057189,image,0.48162454023232554,0.96875,image,none,0.12427682065275483,0.19639803047377052,0.26807850727141985,2.48046875,6.48046875,4.48046875,0
9,frame_009.png,frame_21__32_09.png,32,32,0,0,,,,0,0,0,none,0.36842677806871915,0.89400813244921,image,0.39521288850626346,0.53125,image,none,0.1600563319264593,0.20708835181485982,0.3105757014650732,2.48046875,6.48046875,4.48046875,0
10,frame_010.png,frame_21__32_10.png,32,32,0,0,,,,0,0,0,none,0.34658515569697845,0.8436951169746193,image,0.5798818094235787,0.96875,image,none,0.13023319494427557,0.2803033649898666,0.2851165713288651,2.96484375,6.96484375,4.96484375,0
11,frame_011.png,frame_21__32_11.png,32,32,0,0,,,,0,0,0,none,0.36573268668057746,0.8971858269756152,image,0.4413709855436422,0.71875,image,none,0.15782734371046092,0.19524602325535292,0.27084022228913796,2.48046875,6.48046875,4.48046875,0
12,frame_012.png,frame_21__32_12.png,32,32,0,0,,,,0,0,0,none,0.23743189630206835,0.938146442844823,image,0.6254774132491728,0.78125,image,none,0.06599666483845922,0.14306032011166825,0.2021725245819454,2.48046875,6.48046875,4.48046875,0
13,frame_013.png,frame_21__32_13.png,32,32,0,0,,,,0,0,0,none,0.23595425825248803,0.8864559234542222,image,0.6786230966009144,0.96875,image,none,0.06588799061307003,0.1726988892636972,0.1680393223525266,2.48046875,6.48046875,4.48046875,0
14,frame_014.png,frame_21__32_14.png,32,32,0,0,,,,0,0,0,none,0.40640720027214755,0.8269523223034324,image,0.28908115254729466,0.46875,image,none,0.19029116549891337,0.27989702989088044,0.3024752862478458,1.75390625,5.75390625,3.75390625,0
