frame_index,frc_bin,frc_source,normalized_spatial_frequency,uv_radius_midpoint,frc,sample_count
0,0,image,0.015625,,1.0,1
0,1,image,0.046875,,0.9999838480933937,8
0,2,image,0.078125,,0.9997960401844231,16
0,3,image,0.109375,,0.9991922992916538,20
0,4,image,0.140625,,0.9868382556038005,24
0,5,image,0.171875,,0.9150495871416371,40
0,6,image,0.203125,,0.5685041810503871,36
0,7,image,0.234375,,0.517178283758735,48
0,8,image,0.265625,,0.39000131795085596,56
0,9,image,0.296875,,0.2074735275391783,56
0,10,image,0.328125,,0.30534278302856865,68
0,11,image,0.359375,,0.4867269980021457,64
0,12,image,0.390625,,0.4930991695041565,80
0,13,image,0.421875,,0.433681567127425,92
0,14,image,0.453125,,0.6131429479667238,88
0,15,image,0.484375,,0.47581098787936776,96
0,16,image,0.515625,,0.15079990508138344,96
0,17,image,0.546875,,-0.12337928286138196,116
0,18,image,0.578125,,-0.26705809716511897,120
0,19,image,0.609375,,-0.14111623845929933,120
0,20,image,0.640625,,-0.010711966192468031,124
0,21,image,0.671875,,-0.18013310530502066,144
0,22,image,0.703125,,-0.05882353870720905,136
0,23,image,0.734375,,-0.21829872199509073,140
0,24,image,0.765625,,-0.3543853277374261,152
0,25,image,0.796875,,-0.10999965707190418,168
0,26,image,0.828125,,-0.10419962876467319,176
0,27,image,0.859375,,0.08110655359104614,164
0,28,image,0.890625,,-0.006682838306324851,168
0,29,image,0.921875,,-0.22736372203327176,192
0,30,image,0.953125,,-0.11957180772558164,188
0,31,image,0.984375,,-0.05549100714765205,210
1,0,image,0.015625,,1.0,1
1,1,image,0.046875,,0.9999267600142289,8
1,2,image,0.078125,,0.9997189390060351,16
1,3,image,0.109375,,0.9989170277616208,20
1,4,image,0.140625,,0.9905231897085895,24
1,5,image,0.171875,,0.9369894950182087,40
1,6,image,0.203125,,0.6361782614919425,36
1,7,image,0.234375,,0.4717357908826664,48
1,8,image,0.265625,,0.0722448008683202,56
1,9,image,0.296875,,0.00117577982819441,56
1,10,image,0.328125,,0.06279651899151165,68
1,11,image,0.359375,,-0.011946619521652194,64
1,12,image,0.390625,,0.07591517951380637,80
1,13,image,0.421875,,0.24223018433134633,92
1,14,image,0.453125,,0.23021007188119438,88
1,15,image,0.484375,,0.010062368612050836,96
1,16,image,0.515625,,-0.12248992251010889,96
1,17,image,0.546875,,-0.30993377829207647,116
1,18,image,0.578125,,-0.4184114704851436,120
1,19,image,0.609375,,-0.19707521903776887,120
1,20,image,0.640625,,0.15132919983377136,124
1,21,image,0.671875,,0.0798351034982822,144
1,22,image,0.703125,,0.1339896042398418,136
1,23,image,0.734375,,0.008956456329109205,140
1,24,image,0.765625,,-0.1855755343974389,152
1,25,image,0.796875,,-0.009691594842300531,168
1,26,image,0.828125,,-0.07887719599970702,176
1,27,image,0.859375,,0.029984352030548517,164
1,28,image,0.890625,,-0.012442319267491632,168
1,29,image,0.921875,,-0.12363347331809782,192
1,30,image,0.953125,,-0.04899683988306861,188
1,31,image,0.984375,,-0.01761960460265746,210
2,0,image,0.015625,,1.0,1
2,1,image,0.046875,,0.9999905213212119,8
2,2,image,0.078125,,0.9997263046982924,16
2,3,image,0.109375,,0.9996651382925763,20
2,4,image,0.140625,,0.9837909181374369,24
2,5,image,0.171875,,0.9124485996998865,40
2,6,image,0.203125,,0.7979634775819139,36
2,7,image,0.234375,,0.7077958057932686,48
2,8,image,0.265625,,0.40472679263078215,56
2,9,image,0.296875,,0.2956272541630872,56
2,10,image,0.328125,,0.2872601088474727,68
2,11,image,0.359375,,0.0005197723755604706,64
2,12,image,0.390625,,0.09584534251407684,80
2,13,image,0.421875,,0.11913881900027325,92
2,14,image,0.453125,,-0.06481296365977633,88
2,15,image,0.484375,,-0.24732739593855144,96
2,16,image,0.515625,,-0.3593094252828064,96
2,17,image,0.546875,,-0.4868958553409247,116
2,18,image,0.578125,,-0.4568825947309216,120
2,19,image,0.609375,,-0.22394594327067727,120
2,20,image,0.640625,,-0.03828507025249397,124
2,21,image,0.671875,,-0.15092799484147204,144
2,22,image,0.703125,,-0.0954182005378991,136
2,23,image,0.734375,,-0.26284954541429817,140
2,24,image,0.765625,,-0.37624734270180155,152
2,25,image,0.796875,,-0.24021829365085665,168
2,26,image,0.828125,,-0.2627156756599582,176
2,27,image,0.859375,,-0.20215439897804355,164
2,28,image,0.890625,,-0.2002617380297788,168
2,29,image,0.921875,,-0.1378193746449663,192
2,30,image,0.953125,,0.014407048021018762,188
2,31,image,0.984375,,-0.14705643127526727,210
3,0,image,0.015625,,1.0,1
3,1,image,0.046875,,0.9999737236552363,8
3,2,image,0.078125,,0.9999101881601904,16
3,3,image,0.109375,,0.997891096099659,20
3,4,image,0.140625,,0.9666448950103669,24
3,5,image,0.171875,,0.8419605728866775,40
